timestamp,ecg_value
1764746502.5437272,1.69
1764746502.549888,2.16
1764746502.5562172,2.4
1764746502.562466,2.12
1764746502.568668,1.85
1764746502.5750668,1.72
1764746502.581153,1.5
1764746502.587418,1.38
1764746502.5937102,1.58
1764746502.5999098,1.76
1764746502.606276,2.18
1764746502.61235,2.99
1764746502.61858,3.1
1764746502.624969,2.67
1764746502.6313448,1.64
1764746502.637503,0.49
1764746502.643743,0.8
1764746502.649801,1.3
1764746502.656063,1.24
1764746502.662543,1.27
1764746502.668712,1.22
1764746502.674963,1.1
1764746502.681058,1.04
1764746502.687382,1.19
1764746502.693711,1.3
1764746502.6999,1.22
1764746502.7061691,1.15
1764746502.712338,1.25
1764746502.718863,1.11
1764746502.724936,1.08
1764746502.731195,1.05
1764746502.737394,1.06
1764746502.743636,1.08
1764746502.749832,1.06
1764746502.756027,1.24
1764746502.7623758,1.43
1764746502.76866,1.58
1764746502.7748868,1.79
1764746502.7810829,1.83
1764746502.787362,1.75
1764746502.793698,1.9
1764746502.799796,1.92
1764746502.806051,2.03
1764746502.812278,1.79
1764746502.8186371,0.93
1764746502.825541,0.57
1764746502.831367,1.18
1764746502.837437,1.22
1764746502.843779,0.72
1764746502.849865,0.61
1764746502.8560178,0.92
1764746502.862323,1.06
1764746502.868923,0.81
1764746502.875125,0.62
1764746502.881293,0.99
1764746502.887415,1.38
1764746502.893675,1.01
1764746502.899955,1.13
1764746502.906052,1.3
1764746502.912318,1.31
1764746502.918802,1.69
1764746502.925296,1.78
1764746502.931202,1.73
1764746502.9373262,1.86
1764746502.9436018,1.89
1764746502.949844,1.98
1764746502.956039,2.18
1764746502.9623349,2.24
1764746502.968628,2.03
1764746502.974836,1.84
1764746502.9810529,1.74
1764746502.9873128,1.48
1764746502.993619,1.48
1764746502.999776,1.7
1764746503.005964,1.46
1764746503.0123892,1.05
1764746503.018728,1.15
1764746503.0261009,1.4
1764746503.031152,1.56
1764746503.037531,1.51
1764746503.0435772,1.51
1764746503.049718,1.55
1764746503.05601,1.45
1764746503.0622668,1.6
1764746503.0686111,2.01
1764746503.07575,2.65
1764746503.081092,2.96
1764746503.087425,2.53
1764746503.093631,1.33
1764746503.09982,0.82
1764746503.106029,0.97
1764746503.112274,0.88
1764746503.118725,0.95
1764746503.1249092,1.18
1764746503.1311831,1.36
1764746503.137443,1.4
1764746503.143571,1.2
1764746503.149765,1.24
1764746503.1561549,1.27
1764746503.162553,1.37
1764746503.168716,1.63
1764746503.174948,1.61
1764746503.1813278,1.57
1764746503.187459,1.69
1764746503.193516,1.95
1764746503.199894,1.85
1764746503.206051,1.38
1764746503.2123468,1.44
1764746503.218526,1.57
1764746503.224743,1.38
1764746503.231251,1.03
1764746503.237251,1.01
1764746503.243467,1.21
1764746503.249701,1.58
1764746503.2559931,1.6
