timestamp,ecg_value
1764746402.540454,2.18
1764746402.546634,2.24
1764746402.552843,2.09
1764746402.559159,1.94
1764746402.565492,1.9
1764746402.5716212,1.98
1764746402.5778172,1.96
1764746402.583956,1.7
1764746402.590152,1.63
1764746402.596643,1.72
1764746402.60284,1.57
1764746402.609057,1.42
1764746402.615353,1.33
1764746402.621525,1.27
1764746402.627878,1.28
1764746402.633922,1.16
1764746402.640191,1.18
1764746402.646696,1.22
1764746402.652781,1.07
1764746402.658974,1.05
1764746402.665267,1.02
1764746402.6714728,0.98
1764746402.677741,0.95
1764746402.683947,1.02
1764746402.690269,1.36
1764746402.696666,2.05
1764746402.70267,2.57
1764746402.7090318,2.49
1764746402.7154,1.61
1764746402.721396,0.64
1764746402.7277691,0.86
1764746402.733899,1.14
1764746402.740333,1.05
1764746402.7466722,0.92
1764746402.752825,0.97
1764746402.759059,1.06
1764746402.765406,1.05
1764746402.771664,1.05
1764746402.777966,1.02
1764746402.783911,0.86
1764746402.7901309,0.91
1764746402.79658,1.03
1764746402.802851,0.89
1764746402.808998,1.07
1764746402.8174698,1.27
1764746402.824139,1.22
1764746402.829564,0.9
1764746402.853559,0.84
1764746402.8552551,1.06
1764746402.8554409,1.42
1764746402.855597,1.29
1764746402.868371,1.28
1764746402.878599,1.41
1764746402.885953,1.37
1764746402.892146,1.33
1764746402.9179652,1.24
1764746402.918346,1.2
1764746402.92379,1.2
1764746402.9241831,1.09
1764746402.92452,1.16
1764746402.925228,1.16
1764746402.925594,1.18
1764746402.927783,1.35
1764746402.934088,1.34
1764746402.940302,1.31
1764746402.950919,1.43
1764746402.9546182,1.46
1764746402.959122,1.55
1764746402.965315,1.59
1764746402.971481,1.52
1764746402.9777129,1.63
1764746402.983946,1.54
1764746402.990214,1.49
1764746402.996496,1.59
1764746403.003005,1.57
1764746403.009019,1.55
1764746403.0152802,1.52
1764746403.021676,1.59
1764746403.0278158,1.7
1764746403.034004,1.59
1764746403.040181,1.58
1764746403.046402,1.8
1764746403.052708,1.79
1764746403.058879,1.72
1764746403.065114,1.61
1764746403.0714629,1.72
1764746403.077707,1.83
1764746403.083908,1.5
1764746403.090052,1.38
1764746403.096399,1.42
1764746403.102664,1.34
