timestamp,ecg_value
1764751718.1704829,2.22
1764751718.1768808,2.83
1764751718.1830862,2.5
1764751718.1893911,1.51
1764751718.195442,1.04
1764751718.2017548,1.58
1764751718.208595,1.82
1764751718.2143118,1.57
1764751718.22053,1.78
1764751718.226945,1.77
1764751718.2329652,1.68
1764751718.239249,1.74
1764751718.245494,1.05
1764751718.251749,0.99
1764751718.258174,1.16
1764751718.264352,1.03
1764751718.270472,1.67
1764751718.276747,1.47
1764751718.283057,0.99
1764751718.289624,1.02
1764751718.29548,0.65
1764751718.3017752,0.78
1764751718.3083231,0.99
1764751718.314275,0.72
1764751718.320606,0.92
1764751718.326792,0.97
1764751718.333088,1.28
1764751718.33934,2.15
1764751718.345387,2.04
1764751718.351968,1.83
1764751718.357923,1.72
1764751718.364338,1.99
1764751718.370542,2.62
1764751718.3766148,2.39
1764751718.3827908,2.13
1764751718.389528,2.59
1764751718.395396,2.45
1764751718.401667,2.33
1764751718.4079108,2.29
1764751718.414111,1.63
1764751718.420487,1.46
1764751718.4265978,1.29
1764751718.432854,1.14
1764751718.439507,1.5
1764751718.4453802,1.91
1764751718.451668,2.18
1764751718.4579651,2.25
1764751718.4641411,2.13
1764751718.4703832,2.22
1764751718.4766731,2.17
1764751718.482883,2.15
1764751718.489125,2.44
1764751718.49539,2.31
1764751718.501892,2.35
1764751718.507928,2.49
1764751718.514124,2.41
1764751718.520373,2.48
1764751718.526588,2.39
1764751718.532844,2.25
1764751718.539286,2.46
1764751718.545405,2.06
1764751718.551633,1.95
1764751718.557863,1.59
1764751718.564131,0.93
1764751718.570427,1.22
1764751718.576641,1.1
1764751718.5828211,0.64
1764751718.5892851,0.94
1764751718.595437,0.82
1764751718.601744,0.71
1764751718.60784,0.91
1764751718.614102,0.93
1764751718.620393,1.54
1764751718.626576,1.96
1764751718.632852,2.35
1764751718.6392891,2.77
1764751718.645374,2.36
1764751718.651669,1.98
1764751718.657865,1.74
1764751718.6641228,1.61
1764751718.670358,2.05
1764751718.676617,2.08
1764751718.682913,2.06
1764751718.6892009,2.27
1764751718.695323,1.92
1764751718.702064,2.09
1764751718.707974,2.23
1764751718.714262,1.46
1764751718.720599,1.24
1764751718.7266822,1.22
1764751718.73289,1.08
1764751718.739328,1.04
1764751718.745337,0.76
1764751718.7516448,0.89
1764751718.758185,1.27
1764751718.764595,1.74
1764751718.7705338,2.3
1764751718.7765918,2.12
1764751718.782902,2.11
1764751718.790197,2.34
1764751718.7954502,1.96
1764751718.8015978,2.15
1764751718.8078132,2.37
1764751718.814118,2.02
1764751718.820527,1.9
1764751718.826598,1.44
1764751718.832854,1.18
1764751718.839204,1.29
1764751718.845321,0.96
1764751718.851704,1.01
1764751718.858057,0.91
1764751718.864065,0.57
1764751718.8705878,0.88
1764751718.876485,0.73
1764751718.882942,0.78
1764751718.8891258,1.48
1764751718.895398,2.04
1764751718.9015849,2.26
1764751718.907882,2.31
1764751718.914102,2.12
1764751718.920253,2.32
1764751718.926553,2.3
1764751718.932676,2.37
1764751718.939092,2.42
1764751718.9453702,2.11
1764751718.951537,2.31
1764751718.957763,2.55
1764751718.9640288,2.26
1764751718.97021,2.43
1764751718.976547,2.14
1764751718.982816,1.79
1764751718.989119,1.98
1764751718.995269,1.78
1764751719.001463,1.91
1764751719.007819,2.09
1764751719.013968,1.8
1764751719.020223,1.97
1764751719.026459,1.98
1764751719.032743,1.84
1764751719.039031,2.03
1764751719.045265,1.85
1764751719.0516071,1.78
1764751719.0578449,1.86
1764751719.064006,1.74
1764751719.070279,2.04
1764751719.076578,1.8
1764751719.082767,1.57
1764751719.089663,1.96
1764751719.0952132,2.17
1764751719.101436,2.91
1764751719.107807,3.16
1764751719.113941,3.07
1764751719.120231,2.3
1764751719.126556,1.21
1764751719.132697,1.41
1764751719.139106,2.11
1764751719.145175,1.77
1764751719.151464,1.62
1764751719.157702,1.82
1764751719.163897,1.68
1764751719.1702452,1.82
1764751719.176436,1.81
1764751719.1827252,1.77
1764751719.189087,1.95
1764751719.195221,1.63
1764751719.201477,1.72
1764751719.207714,2.0
1764751719.213867,1.84
1764751719.220201,2.03
1764751719.226474,1.79
1764751719.232825,1.69
1764751719.2390249,1.9
1764751719.245147,1.73
1764751719.25162,1.83
1764751719.257906,1.88
1764751719.2639308,1.64
1764751719.2702348,1.9
1764751719.276431,1.79
1764751719.2827258,1.59
1764751719.28893,1.83
1764751719.295101,1.6
1764751719.301475,1.52
1764751719.3076532,1.66
