sample_index,timestamp_s
5,1764746222.569396019
72,1764746223.078554869
164,1764746224.091070890
294,1764746224.903152227
391,1764746225.509285212
486,1764746226.102835894
579,1764746226.684006929
673,1764746227.271893978
766,1764746227.852666855
858,1764746228.427365780
950,1764746229.012250185
1040,1764746229.564677954
1129,1764746230.120796919
1204,1764746230.714416027
1284,1764746231.214373827
1370,1764746231.751799107
1454,1764746232.276538849
1539,1764746232.807754993
1627,1764746233.357671976
1729,1764746233.994965076
1830,1764746234.626039028
1929,1764746235.244784832
2023,1764746235.832063913
2122,1764746236.450666904
2234,1764746237.150749922
2346,1764746237.850383043
2458,1764746238.550160885
2563,1764746239.206305027
2666,1764746239.849951982
2767,1764746240.481222868
2870,1764746241.124671936
2975,1764746241.780862093
3081,1764746242.443181992
3185,1764746243.093034029
3381,1764746244.317749977
3478,1764746244.923839092
3574,1764746245.523774862
3669,1764746246.117374897
3762,1764746246.698554993
3855,1764746247.279689074
3948,1764746247.860692978
4042,1764746248.448137999
4135,1764746249.029253960
4228,1764746249.610476971
4320,1764746250.185288906
4414,1764746250.772645235
4517,1764746251.416272879
4624,1764746252.085057020
