timestamp,ecg_value
1762880142.1109068,3.17
1762880142.117057,3.17
1762880142.123234,3.17
1762880142.129486,3.17
1762880142.135801,3.15
1762880142.1419442,2.86
1762880142.148254,2.22
1762880142.154651,1.47
1762880142.160746,0.88
1762880142.16701,0.61
1762880142.173156,0.7
1762880142.179488,1.03
1762880142.18596,1.45
1762880142.192066,1.76
1762880142.1980858,1.9
1762880142.2044349,1.86
1762880142.210732,1.65
1762880142.2169511,1.47
1762880142.223146,1.55
1762880142.229974,1.3
1762880142.2357728,1.61
1762880142.2420511,1.48
1762880142.248102,1.36
1762880142.254551,1.68
1762880142.260798,1.38
1762880142.266934,1.51
1762880142.273247,1.64
1762880142.2794182,1.28
1762880142.285631,1.67
1762880142.291883,1.6
1762880142.298207,1.43
1762880142.304385,1.73
1762880142.310644,1.48
1762880142.316915,1.62
1762880142.323328,1.73
1762880142.3299,1.4
1762880142.335673,1.75
1762880142.342007,1.64
1762880142.348178,1.53
1762880142.3544772,1.89
1762880142.360713,1.59
1762880142.367011,1.72
1762880142.373158,1.88
1762880142.37967,1.6
1762880142.385639,1.96
1762880142.3921049,1.88
1762880142.3982668,1.71
1762880142.404605,2.03
1762880142.410843,1.77
1762880142.41694,1.85
1762880142.423266,2.06
1762880142.429405,1.69
1762880142.43561,1.96
1762880142.442123,1.83
1762880142.4482172,1.61
1762880142.45435,1.86
1762880142.460654,1.53
1762880142.466913,1.57
1762880142.473173,1.69
1762880142.479557,1.31
1762880142.4856162,1.58
1762880142.49185,1.49
1762880142.498205,1.29
1762880142.5043998,1.63
1762880142.510587,1.37
1762880142.517,1.45
1762880142.523087,1.58
1762880142.529404,1.29
1762880142.535554,1.59
1762880142.5417972,1.49
1762880142.54811,1.3
1762880142.55433,1.64
1762880142.560628,1.39
1762880142.56687,1.48
1762880142.5731149,1.67
1762880142.5793762,1.33
1762880142.5855832,1.6
1762880142.591845,1.52
1762880142.598187,1.35
1762880142.604366,1.69
1762880142.610713,1.42
1762880142.61694,1.51
1762880142.62313,1.67
1762880142.629759,1.33
1762880142.635554,1.63
1762880142.6419132,1.61
1762880142.6482,1.41
1762880142.654305,1.68
1762880142.660473,1.4
1762880142.666821,1.51
1762880142.673124,1.66
1762880142.6794639,1.36
1762880142.685559,1.65
1762880142.69177,1.54
1762880142.698156,1.35
1762880142.70437,1.68
1762880142.710631,1.44
1762880142.716834,1.51
1762880142.7231119,1.65
1762880142.7294002,1.35
1762880142.735554,1.66
1762880142.741759,1.58
1762880142.74804,1.35
1762880142.7543511,1.69
1762880142.7605069,1.45
1762880142.766928,1.52
1762880142.773262,1.66
1762880142.779412,1.34
1762880142.785685,1.7
1762880142.79211,1.65
1762880142.805231,1.51
1762880142.828788,1.8
1762880142.8336372,1.58
1762880142.8337579,1.73
1762880142.833838,1.9
1762880142.833917,1.49
1762880142.838214,1.76
1762880142.845031,1.73
1762880142.851978,1.41
1762880142.857654,1.66
1762880142.8608692,1.37
1762880142.867303,1.46
1762880142.874998,1.66
1762880142.8792331,1.3
1762880142.885988,1.52
1762880142.8917,1.53
1762880142.898079,1.37
1762880142.904384,1.66
1762880142.910594,1.42
1762880142.916716,1.48
1762880142.923245,1.65
1762880142.929237,1.3
1762880142.935456,1.63
1762880142.942105,1.57
1762880142.948213,1.36
1762880142.9543092,1.7
1762880142.960596,1.44
1762880142.9667358,1.57
1762880142.973309,1.86
1762880142.9793751,1.77
1762880142.9856389,2.69
1762880142.991998,3.17
1762880142.99809,3.17
1762880143.0044641,3.17
1762880143.0105002,2.96
1762880143.016865,1.19
1762880143.02305,1.14
1762880143.029294,1.54
1762880143.035554,1.76
1762880143.041952,1.41
1762880143.048049,1.23
1762880143.054304,1.68
1762880143.060628,1.39
1762880143.066668,1.41
1762880143.0729852,1.63
1762880143.080142,1.32
1762880143.085464,1.57
1762880143.091892,1.54
1762880143.098103,1.34
1762880143.1044202,1.68
1762880143.1106849,1.43
1762880143.1169212,1.49
1762880143.123188,1.69
1762880143.129396,1.34
1762880143.1355221,1.63
1762880143.141771,1.62
1762880143.148073,1.41
1762880143.154208,1.74
1762880143.160532,1.52
1762880143.1667352,1.57
1762880143.173013,1.78
1762880143.179318,1.52
1762880143.185524,1.78
1762880143.191752,1.72
1762880143.197945,1.57
1762880143.204205,1.97
1762880143.210444,1.72
1762880143.216779,1.76
1762880143.222949,2.01
1762880143.2292202,1.64
1762880143.235403,1.95
1762880143.241728,1.95
1762880143.248052,1.68
1762880143.2542279,1.99
1762880143.260471,1.71
1762880143.26678,1.7
1762880143.273021,1.85
1762880143.279226,1.46
1762880143.2853918,1.63
1762880143.291722,1.57
1762880143.297993,1.33
1762880143.304181,1.64
1762880143.310457,1.35
1762880143.3166962,1.35
1762880143.322937,1.62
1762880143.329237,1.27
1762880143.33536,1.49
1762880143.341769,1.45
1762880143.348031,1.21
1762880143.354284,1.6
1762880143.3604438,1.41
1762880143.3666291,1.41
1762880143.3729548,1.56
1762880143.3793411,1.25
1762880143.3854442,1.55
1762880143.391667,1.49
1762880143.397888,1.27
1762880143.4043,1.67
1762880143.410483,1.44
1762880143.416783,1.43
1762880143.42297,1.6
1762880143.4295979,1.3
1762880143.435411,1.61
1762880143.441664,1.58
1762880143.448035,1.33
1762880143.4541829,1.65
1762880143.460439,1.45
1762880143.466729,1.48
1762880143.472909,1.64
1762880143.479527,1.28
1762880143.485397,1.61
1762880143.491671,1.6
1762880143.497953,1.31
1762880143.504108,1.67
1762880143.5103738,1.44
1762880143.516723,1.43
1762880143.522887,1.61
1762880143.529632,1.32
1762880143.535371,1.59
1762880143.5415711,1.53
1762880143.5481331,1.31
1762880143.554126,1.67
1762880143.560415,1.45
1762880143.566765,1.44
1762880143.572976,1.68
1762880143.579268,1.46
1762880143.585309,1.71
1762880143.591707,1.64
1762880143.59787,1.49
1762880143.604119,1.93
1762880143.610375,1.65
1762880143.6166558,1.54
1762880143.6229172,1.8
1762880143.629379,1.48
1762880143.635405,1.57
1762880143.641601,1.51
1762880143.647889,1.27
1762880143.6540601,1.64
1762880143.660348,1.4
1762880143.666566,1.37
1762880143.6728802,1.6
1762880143.679533,1.28
1762880143.685379,1.53
1762880143.6916401,1.51
1762880143.6978428,1.3
1762880143.704112,1.66
1762880143.710376,1.4
1762880143.716575,1.38
1762880143.722869,1.65
1762880143.729593,1.37
1762880143.735316,1.55
1762880143.7415612,1.5
1762880143.7478988,1.35
1762880143.754173,1.72
1762880143.760347,1.57
1762880143.766675,1.83
1762880143.772969,2.73
1762880143.77921,3.16
1762880143.7853289,3.17
1762880143.791533,3.17
1762880143.797877,3.01
1762880143.804092,1.28
1762880143.810306,0.77
1762880143.8166862,1.68
1762880143.822882,1.89
1762880143.8293152,1.15
1762880143.835314,1.44
1762880143.841537,1.56
1762880143.847857,1.28
1762880143.8540878,1.57
1762880143.860357,1.35
1762880143.8666291,1.38
1762880143.872927,1.6
1762880143.8791869,1.27
1762880143.885313,1.52
1762880143.891538,1.57
1762880143.897792,1.3
1762880143.904143,1.65
1762880143.9103382,1.47
1762880143.9165509,1.45
1762880143.9227798,1.68
1762880143.9291148,1.38
1762880143.935316,1.64
1762880143.941588,1.62
1762880143.9477918,1.39
1762880143.9540732,1.79
1762880143.960323,1.58
1762880143.966492,1.55
1762880143.972769,1.82
1762880143.979122,1.53
1762880143.9852648,1.8
1762880143.991487,1.86
1762880143.997779,1.59
1762880144.004075,1.94
1762880144.010321,1.76
1762880144.0164852,1.76
