timestamp,ecg_value
1764746552.539413,2.63
1764746552.545281,2.54
1764746552.551475,2.56
1764746552.5579069,2.57
1764746552.5639648,2.42
1764746552.5701902,2.44
1764746552.576362,2.45
1764746552.58271,2.45
1764746552.589036,2.44
1764746552.595241,2.29
1764746552.601472,2.31
1764746552.607733,2.47
1764746552.613981,2.32
1764746552.620186,2.27
1764746552.626461,2.17
1764746552.632849,2.03
1764746552.639022,1.87
1764746552.645225,1.64
1764746552.651564,1.61
1764746552.657727,1.57
1764746552.664035,1.42
1764746552.6701708,1.43
1764746552.676524,1.33
1764746552.682643,1.33
1764746552.689117,1.39
1764746552.69525,1.23
1764746552.701406,1.14
1764746552.707675,1.11
1764746552.714123,1.11
1764746552.720285,1.4
1764746552.726547,2.13
1764746552.732679,2.65
1764746552.73902,2.56
1764746552.745311,1.49
1764746552.751582,0.27
1764746552.757699,0.47
1764746552.7641711,0.82
1764746552.770135,0.69
1764746552.776468,0.56
1764746552.782698,0.58
1764746552.789398,0.59
1764746552.795256,0.47
1764746552.801568,0.53
1764746552.807837,0.59
1764746552.814078,0.49
1764746552.820537,0.55
1764746552.8263931,0.53
1764746552.832692,0.51
1764746552.83926,0.54
1764746552.845133,0.46
1764746552.851444,0.54
1764746552.857619,0.6
1764746552.863895,0.44
1764746552.8702269,0.47
1764746552.876318,0.5
1764746552.882692,0.46
1764746552.889192,0.53
1764746552.89516,0.48
1764746552.901362,0.47
1764746552.90776,0.47
1764746552.9138958,0.44
1764746552.9201658,0.44
1764746552.9263208,0.38
1764746552.9326122,0.3
1764746552.938914,0.37
1764746552.945183,0.34
1764746552.951353,0.31
1764746552.957665,0.31
1764746552.963914,0.22
1764746552.970179,0.22
1764746552.9766028,0.22
1764746552.98262,0.18
1764746552.9894762,0.2
1764746552.995221,0.18
1764746553.0015402,0.16
1764746553.0076532,0.23
1764746553.013928,0.14
1764746553.020159,0.15
1764746553.026336,0.12
1764746553.032647,0.07
1764746553.039166,0.12
1764746553.045036,0.08
1764746553.051307,0.04
1764746553.0575309,0.12
1764746553.063838,0.12
1764746553.070116,0.11
1764746553.07629,0.07
1764746553.082626,0.18
1764746553.089492,0.36
1764746553.095037,0.24
1764746553.1013062,0.22
1764746553.107606,0.48
1764746553.113844,0.5
1764746553.120061,0.41
1764746553.126265,0.4
1764746553.132703,0.46
1764746553.139053,0.31
1764746553.145131,0.12
1764746553.151309,0.14
1764746553.157694,0.22
1764746553.163848,0.21
1764746553.1700869,0.32
1764746553.176496,0.31
1764746553.1826088,0.27
1764746553.188861,0.36
1764746553.19514,0.34
1764746553.201327,0.37
1764746553.207571,0.45
1764746553.2138822,0.39
1764746553.220072,0.61
1764746553.226284,1.38
1764746553.232702,2.09
1764746553.2389472,2.1
1764746553.24514,1.5
1764746553.251297,0.28
1764746553.257601,0.04
1764746553.263869,0.45
1764746553.270109,0.65
1764746553.2764428,0.48
1764746553.282798,0.4
1764746553.28897,0.59
1764746553.295074,0.56
1764746553.301322,0.59
1764746553.307515,0.81
1764746553.313737,0.75
1764746553.320101,0.69
1764746553.326257,0.86
1764746553.33248,0.87
1764746553.33883,0.86
1764746553.345115,0.85
1764746553.3512802,0.9
1764746553.357595,1.06
1764746553.363832,1.15
1764746553.370028,1.12
1764746553.376214,1.06
1764746553.3824582,1.18
1764746553.38878,1.3
1764746553.41012,1.2
1764746553.4435022,1.35
1764746553.443661,1.39
1764746553.443796,1.27
1764746553.475384,1.42
1764746553.4764328,1.5
1764746553.476633,1.46
1764746553.476768,1.52
1764746553.4768798,1.37
1764746553.476992,1.41
1764746553.477128,1.66
1764746553.47748,1.61
1764746553.4775949,1.53
1764746553.477712,1.6
1764746553.482592,1.61
1764746553.4903848,1.58
1764746553.495049,1.51
1764746553.501546,1.59
1764746553.5075588,1.66
1764746553.514029,1.5
1764746553.52474,1.55
1764746553.526316,1.55
1764746553.532626,1.46
1764746553.538932,1.48
1764746553.545185,1.41
1764746553.551198,1.44
1764746553.557564,1.65
1764746553.563788,1.54
1764746553.570102,1.49
1764746553.576297,1.59
1764746553.582586,1.56
1764746553.5891788,1.67
1764746553.5950458,1.77
1764746553.601227,1.79
1764746553.607436,1.93
1764746553.613727,2.0
1764746553.620078,2.14
1764746553.626252,1.98
1764746553.632428,1.93
1764746553.639155,2.08
1764746553.6448991,1.76
1764746553.651247,1.7
1764746553.65748,1.76
1764746553.6636858,1.69
1764746553.670144,1.66
1764746553.676281,1.79
1764746553.682553,1.9
1764746553.689332,1.86
1764746553.695012,1.76
1764746553.701439,1.86
1764746553.707637,1.86
1764746553.71366,1.79
1764746553.7199192,1.87
1764746553.726206,2.11
1764746553.732459,2.95
1764746553.738933,3.16
1764746553.745228,3.16
1764746553.751294,2.91
1764746553.757522,1.24
1764746553.763741,1.07
1764746553.76997,1.9
1764746553.776392,1.8
1764746553.782472,1.52
1764746553.790342,1.65
1764746553.795037,1.56
1764746553.801213,1.72
1764746553.80775,1.87
1764746553.813848,1.7
1764746553.820074,1.72
1764746553.82626,1.73
1764746553.832724,1.56
1764746553.838737,1.81
1764746553.844998,1.66
1764746553.851158,1.72
1764746553.857517,1.81
1764746553.863797,1.69
1764746553.869983,1.68
1764746553.8762062,1.78
1764746553.882603,1.59
1764746553.889529,1.67
1764746553.895197,1.88
1764746553.9013178,1.89
1764746553.907454,2.04
1764746553.913716,2.11
1764746553.9201531,1.98
1764746553.926336,1.9
1764746553.932631,1.96
1764746553.938859,2.0
1764746553.944876,1.74
1764746553.951368,1.75
1764746553.957492,1.89
1764746553.963743,1.78
1764746553.9701009,1.71
1764746553.976246,1.73
1764746553.982541,1.66
1764746553.988777,1.7
1764746553.994994,1.54
1764746554.00123,1.53
1764746554.007564,1.61
1764746554.0136929,1.5
1764746554.019959,1.28
1764746554.026075,1.56
1764746554.0323682,1.52
1764746554.03867,1.4
1764746554.044935,1.39
1764746554.051191,1.31
1764746554.057494,1.3
1764746554.063694,1.52
1764746554.070276,1.49
1764746554.0762,1.29
1764746554.082517,1.16
1764746554.0888152,1.5
1764746554.094953,1.65
1764746554.101203,1.37
1764746554.1073978,1.43
1764746554.1136,1.43
1764746554.11989,1.26
1764746554.126187,1.26
1764746554.1323452,1.19
1764746554.138706,0.97
1764746554.1448488,0.81
1764746554.151065,1.11
1764746554.15739,1.01
1764746554.16364,0.62
1764746554.169965,0.66
1764746554.176116,0.89
1764746554.182376,0.8
1764746554.1897018,0.69
1764746554.194881,0.84
1764746554.201076,0.8
1764746554.207415,0.83
1764746554.21369,0.88
1764746554.220153,0.92
1764746554.22609,1.56
1764746554.232304,2.36
1764746554.238806,2.44
1764746554.244881,1.95
1764746554.2510378,0.61
1764746554.25729,0.02
1764746554.263606,0.38
1764746554.271538,0.7
1764746554.276063,0.69
1764746554.282377,0.51
1764746554.2889369,0.53
1764746554.295014,0.59
1764746554.3011048,0.66
1764746554.307364,0.84
1764746554.313677,0.71
1764746554.319941,0.6
1764746554.326184,0.77
1764746554.332375,0.91
1764746554.339582,0.75
1764746554.345042,0.82
1764746554.351266,0.89
1764746554.357409,0.94
1764746554.3635972,1.03
1764746554.369941,0.97
1764746554.376107,1.05
1764746554.382377,1.09
1764746554.388829,1.2
1764746554.39501,1.33
1764746554.401118,1.38
1764746554.4073632,1.36
1764746554.413574,1.37
1764746554.419919,1.44
1764746554.4260638,1.56
1764746554.432469,1.53
1764746554.4386392,1.51
1764746554.444822,1.54
1764746554.450986,1.54
1764746554.457526,1.67
1764746554.463545,1.57
1764746554.469862,1.56
1764746554.4761448,1.63
1764746554.482352,1.72
1764746554.488555,1.74
1764746554.4947572,1.75
1764746554.5012858,1.81
1764746554.507263,1.91
1764746554.513549,1.97
1764746554.5197902,2.04
1764746554.526027,2.14
1764746554.532256,2.03
1764746554.5398662,2.12
1764746554.544855,2.14
1764746554.5510988,2.18
1764746554.5575302,2.26
1764746554.563745,2.18
1764746554.569833,2.3
1764746554.576097,2.4
1764746554.582335,2.31
1764746554.5893838,2.44
1764746554.5948532,2.53
1764746554.601129,2.56
1764746554.607235,2.65
1764746554.613842,2.61
1764746554.6200051,2.62
1764746554.626009,2.59
1764746554.632413,2.36
1764746554.6389172,2.3
1764746554.64482,2.3
1764746554.650972,2.27
1764746554.657363,2.32
1764746554.6635242,2.27
1764746554.669908,2.3
1764746554.675974,2.28
1764746554.6823092,2.41
