timestamp,ecg_value
1762880094.008472,1.49
1762880094.014512,1.5
1762880094.020858,1.51
1762880094.026931,1.51
1762880094.03314,1.49
1762880094.039434,1.47
1762880094.045673,1.45
1762880094.051857,1.45
1762880094.058319,1.47
1762880094.0643358,1.5
1762880094.070605,1.53
1762880094.07687,1.55
1762880094.083649,1.54
1762880094.0893922,1.52
1762880094.095716,1.48
1762880094.1019058,1.46
1762880094.1081889,1.46
1762880094.114369,1.56
1762880094.120822,1.54
1762880094.126945,1.57
1762880094.133184,1.64
1762880094.139349,1.62
1762880094.1456141,1.73
1762880094.151777,1.73
1762880094.158062,1.62
1762880094.164703,1.64
1762880094.170605,1.65
1762880094.176811,1.63
1762880094.1830919,1.52
1762880094.189308,1.39
1762880094.195998,1.52
1762880094.201771,1.52
1762880094.208025,1.37
1762880094.2143,1.45
1762880094.2205539,1.45
1762880094.2267919,1.47
1762880094.233071,1.48
1762880094.239284,1.38
1762880094.2455978,1.46
1762880094.2519958,1.51
1762880094.258114,1.45
1762880094.264302,1.5
1762880094.270612,1.48
1762880094.276924,1.49
1762880094.28311,1.54
1762880094.2894669,1.48
1762880094.2960472,1.5
1762880094.3018408,1.59
1762880094.308157,1.67
1762880094.31466,1.96
1762880094.320825,2.64
1762880094.326859,3.17
1762880094.333062,3.17
1762880094.339318,3.17
1762880094.345644,2.63
1762880094.351707,0.81
1762880094.358083,1.12
1762880094.364321,1.89
1762880094.3705869,1.53
1762880094.37681,1.27
1762880094.3830342,1.45
1762880094.3894122,1.5
1762880094.395825,1.48
1762880094.401813,1.44
1762880094.4079502,1.44
1762880094.414279,1.51
1762880094.4204748,1.47
1762880094.426785,1.49
1762880094.433002,1.52
1762880094.439264,1.49
1762880094.445743,1.54
1762880094.4518578,1.54
1762880094.4579961,1.52
1762880094.464329,1.56
1762880094.470504,1.54
1762880094.476844,1.53
1762880094.483069,1.58
1762880094.4892402,1.59
1762880094.495667,1.64
1762880094.501778,1.63
1762880094.508054,1.6
1762880094.5708601,1.68
1762880094.572341,1.68
1762880094.577607,1.69
1762880094.580163,1.75
1762880094.580236,1.77
1762880094.58029,1.81
1762880094.580342,1.8
1762880094.5805922,1.82
1762880094.580657,1.91
1762880094.5833228,1.8
1762880094.583623,1.84
1762880094.58381,1.93
1762880094.5892422,1.84
1762880094.5955698,1.77
1762880094.601724,1.71
1762880094.608055,1.71
1762880094.614301,1.72
1762880094.620499,1.58
1762880094.626753,1.51
1762880094.63296,1.52
1762880094.6392162,1.46
1762880094.645509,1.49
1762880094.651693,1.47
1762880094.657964,1.4
1762880094.664278,1.45
1762880094.670466,1.41
1762880094.6768441,1.4
1762880094.682949,1.46
1762880094.689379,1.42
1762880094.695582,1.45
1762880094.701715,1.46
1762880094.708111,1.42
1762880094.714307,1.46
1762880094.7204669,1.46
1762880094.7272131,1.44
1762880094.7333739,1.53
1762880094.7392561,1.51
1762880094.7454789,1.49
1762880094.751751,1.52
1762880094.758066,1.47
1762880094.764386,1.53
1762880094.770504,1.52
1762880094.776757,1.51
1762880094.783028,1.53
1762880094.789171,1.45
1762880094.795543,1.52
1762880094.801701,1.53
1762880094.807882,1.46
1762880094.814164,1.51
1762880094.820483,1.5
1762880094.82675,1.52
1762880094.832989,1.56
1762880094.839307,1.49
1762880094.84543,1.47
1762880094.851648,1.5
1762880094.8579168,1.5
1762880094.8644822,1.55
1762880094.870446,1.5
1762880094.877386,1.49
1762880094.882997,1.53
1762880094.8894029,1.47
1762880094.895521,1.51
1762880094.901963,1.54
1762880094.908177,1.49
1762880094.914206,1.52
1762880094.920558,1.53
1762880094.926752,1.55
1762880094.932987,1.62
1762880094.93924,1.61
1762880094.9454348,1.65
1762880094.951774,1.73
1762880094.957976,1.74
1762880094.96418,1.74
1762880094.970444,1.59
1762880094.977182,1.65
1762880094.982921,1.71
1762880094.989176,1.51
1762880094.995483,1.47
1762880095.001578,1.54
1762880095.007963,1.44
1762880095.0141718,1.48
1762880095.0204659,1.49
1762880095.0266361,1.49
1762880095.0328581,1.5
1762880095.039238,1.41
1762880095.045331,1.48
1762880095.05185,1.52
1762880095.058101,1.48
1762880095.064275,1.48
1762880095.0704079,1.45
1762880095.07676,1.49
1762880095.083053,1.57
1762880095.08924,1.5
1762880095.095465,1.56
1762880095.101662,1.56
1762880095.108026,1.5
1762880095.114177,1.74
1762880095.1205099,2.04
1762880095.127038,2.72
1762880095.132875,3.17
1762880095.139192,3.17
1762880095.145389,3.17
1762880095.151642,2.8
1762880095.157883,0.99
1762880095.164078,1.15
1762880095.170324,1.77
1762880095.1768808,1.59
1762880095.182785,1.36
1762880095.189184,1.37
1762880095.195477,1.54
1762880095.20167,1.52
1762880095.20786,1.42
1762880095.214058,1.48
1762880095.220385,1.46
1762880095.226659,1.49
1762880095.2329018,1.52
1762880095.239167,1.46
1762880095.2453399,1.52
1762880095.251648,1.54
1762880095.258085,1.49
1762880095.264124,1.54
1762880095.270348,1.52
1762880095.2767591,1.56
1762880095.282769,1.61
1762880095.289065,1.54
1762880095.295394,1.58
1762880095.301593,1.65
1762880095.307858,1.61
1762880095.314154,1.66
1762880095.320569,1.63
1762880095.32659,1.66
1762880095.332889,1.75
1762880095.339116,1.72
1762880095.34548,1.78
1762880095.3514938,1.83
1762880095.358073,1.79
1762880095.364068,1.86
1762880095.370274,1.82
1762880095.37652,1.78
1762880095.382752,1.91
1762880095.389042,1.87
1762880095.3953311,1.84
1762880095.40167,1.78
1762880095.407868,1.7
1762880095.414017,1.78
1762880095.420272,1.66
1762880095.4267032,1.55
1762880095.4327629,1.54
1762880095.439111,1.48
1762880095.445344,1.48
1762880095.4515781,1.48
1762880095.457898,1.42
1762880095.464084,1.47
1762880095.470268,1.42
1762880095.476543,1.43
1762880095.482861,1.49
1762880095.4889731,1.42
1762880095.495391,1.45
1762880095.5016818,1.45
1762880095.507822,1.38
1762880095.51404,1.49
1762880095.520336,1.48
1762880095.5266109,1.44
1762880095.532745,1.51
1762880095.539069,1.45
1762880095.545333,1.48
1762880095.551562,1.52
1762880095.558037,1.48
1762880095.56401,1.52
1762880095.570427,1.5
1762880095.5764842,1.48
1762880095.582962,1.52
1762880095.589088,1.49
1762880095.595297,1.55
1762880095.601515,1.53
1762880095.607923,1.46
1762880095.6140301,1.52
1762880095.620427,1.51
1762880095.62654,1.49
1762880095.632769,1.5
1762880095.639084,1.48
1762880095.645321,1.51
1762880095.651739,1.51
1762880095.657975,1.47
1762880095.664086,1.51
1762880095.670491,1.47
1762880095.67655,1.49
1762880095.682903,1.54
1762880095.689068,1.48
1762880095.695432,1.52
1762880095.701557,1.55
1762880095.7076962,1.56
1762880095.713872,1.65
1762880095.7202501,1.61
1762880095.726888,1.68
1762880095.7327812,1.8
1762880095.739019,1.67
1762880095.745383,1.6
1762880095.751443,1.71
1762880095.757859,1.63
1762880095.76403,1.52
1762880095.770221,1.44
1762880095.776563,1.46
1762880095.7827368,1.51
1762880095.789144,1.38
1762880095.795244,1.42
1762880095.801664,1.52
1762880095.807828,1.44
1762880095.8141649,1.42
1762880095.8205051,1.47
1762880095.826647,1.46
1762880095.83289,1.49
1762880095.838942,1.43
1762880095.8452249,1.47
1762880095.851563,1.5
1762880095.857753,1.44
1762880095.864053,1.53
1762880095.87694,1.52
1762880095.877127,1.47
1762880095.893922,1.54
1762880095.895343,1.62
1762880095.8957188,1.91
1762880095.920633,2.55
1762880095.93546,3.16
1762880095.935904,3.17
1762880095.9359932,3.17
1762880095.9360561,3.04
1762880095.936131,1.18
1762880095.938904,0.85
1762880095.9484081,1.75
1762880095.951552,1.71
1762880095.9585679,1.32
1762880095.963967,1.43
1762880095.9703271,1.49
1762880095.977074,1.42
1762880095.982734,1.45
1762880095.988977,1.42
1762880095.9952278,1.49
1762880096.001483,1.49
1762880096.007728,1.46
1762880096.013927,1.52
1762880096.020267,1.5
1762880096.026722,1.48
1762880096.032741,1.53
1762880096.0388858,1.47
1762880096.045238,1.52
1762880096.051394,1.6
1762880096.05774,1.53
1762880096.0639172,1.56
1762880096.070215,1.56
1762880096.076534,1.56
1762880096.0828469,1.64
1762880096.088875,1.62
1762880096.09532,1.64
1762880096.101433,1.72
1762880096.107739,1.68
1762880096.113976,1.74
1762880096.120455,1.75
1762880096.1264691,1.75
1762880096.132736,1.84
1762880096.139018,1.83
1762880096.145161,1.84
1762880096.1514308,1.86
1762880096.15764,1.79
1762880096.1640189,1.86
1762880096.170176,1.84
1762880096.17636,1.76
1762880096.182698,1.77
1762880096.188994,1.68
1762880096.195203,1.64
1762880096.201397,1.55
1762880096.207645,1.45
1762880096.213886,1.49
1762880096.220267,1.49
1762880096.2265751,1.46
1762880096.232765,1.43
1762880096.238889,1.38
1762880096.2451751,1.44
1762880096.2515042,1.47
1762880096.2577431,1.41
1762880096.263851,1.42
1762880096.2700858,1.37
1762880096.2766342,1.4
1762880096.282748,1.52
1762880096.2889202,1.43
1762880096.295053,1.42
1762880096.301365,1.45
1762880096.3076348,1.46
1762880096.313854,1.52
1762880096.32013,1.49
1762880096.326506,1.4
1762880096.332671,1.5
1762880096.339027,1.52
1762880096.3451781,1.52
1762880096.351337,1.49
1762880096.357753,1.45
1762880096.363942,1.54
1762880096.370378,1.49
1762880096.376446,1.44
1762880096.3827221,1.56
1762880096.388952,1.51
1762880096.3951612,1.5
1762880096.401335,1.51
1762880096.407658,1.43
1762880096.4138129,1.51
1762880096.420199,1.53
1762880096.4264698,1.49
1762880096.432686,1.5
1762880096.4388402,1.41
1762880096.445073,1.49
1762880096.451363,1.56
1762880096.4575832,1.47
1762880096.4638772,1.51
1762880096.47008,1.52
1762880096.4763892,1.49
1762880096.4828281,1.53
1762880096.4888551,1.46
1762880096.495127,1.5
1762880096.5012748,1.54
1762880096.507606,1.46
1762880096.513916,1.56
1762880096.520063,1.66
1762880096.5263228,1.62
1762880096.532757,1.6
1762880096.539027,1.67
1762880096.545088,1.79
1762880096.5513742,1.74
1762880096.557636,1.61
1762880096.563929,1.72
1762880096.570102,1.7
1762880096.576353,1.52
1762880096.5826838,1.49
1762880096.588812,1.45
1762880096.595069,1.49
1762880096.601294,1.51
1762880096.6075342,1.45
1762880096.613804,1.49
1762880096.620126,1.44
1762880096.626538,1.46
1762880096.632589,1.53
1762880096.6388748,1.45
1762880096.645122,1.46
1762880096.651478,1.52
1762880096.657701,1.48
1762880096.663813,1.5
1762880096.6701922,1.5
1762880096.676469,1.51
1762880096.682615,1.56
1762880096.688849,1.52
1762880096.695219,1.55
1762880096.701497,1.7
1762880096.707632,1.94
1762880096.713851,2.63
1762880096.720006,3.16
1762880096.726825,3.17
1762880096.732599,3.17
1762880096.738938,2.88
1762880096.745049,1.0
1762880096.751256,1.04
1762880096.757555,1.79
1762880096.763783,1.66
1762880096.77012,1.34
1762880096.776572,1.44
1762880096.782611,1.56
1762880096.7888901,1.45
1762880096.794932,1.44
1762880096.8012888,1.52
1762880096.8075578,1.47
1762880096.813706,1.49
1762880096.8200068,1.48
1762880096.8263118,1.46
1762880096.832675,1.52
1762880096.83884,1.5
1762880096.845037,1.55
1762880096.8514051,1.58
1762880096.857606,1.56
1762880096.863915,1.6
1762880096.870325,1.58
1762880096.876344,1.53
1762880096.8827531,1.62
1762880096.888831,1.61
1762880096.895019,1.63
1762880096.90131,1.66
1762880096.907518,1.63
1762880096.913755,1.72
1762880096.919997,1.74
1762880096.926348,1.69
1762880096.9325042,1.79
1762880096.938703,1.77
1762880096.944948,1.83
1762880096.951282,1.87
1762880096.9575198,1.78
1762880096.963753,1.85
1762880096.970011,1.89
1762880096.976287,1.86
1762880096.982498,1.89
1762880096.988704,1.79
1762880096.994925,1.76
1762880097.001187,1.74
1762880097.007456,1.62
1762880097.01369,1.65
1762880097.0200489,1.56
1762880097.026387,1.47
1762880097.032532,1.51
1762880097.03878,1.46
1762880097.044998,1.48
1762880097.0514922,1.49
1762880097.057481,1.41
1762880097.063699,1.44
1762880097.070049,1.46
1762880097.076601,1.44
1762880097.08243,1.5
1762880097.088806,1.46
1762880097.094909,1.44
1762880097.101233,1.48
1762880097.107541,1.44
1762880097.1136608,1.48
1762880097.119927,1.5
1762880097.1263082,1.48
1762880097.1324532,1.55
1762880097.1386409,1.5
1762880097.144904,1.5
1762880097.151273,1.55
1762880097.157758,1.49
1762880097.163598,1.52
1762880097.169923,1.52
1762880097.17628,1.51
1762880097.1824472,1.56
1762880097.188637,1.49
1762880097.1948822,1.49
1762880097.201159,1.57
1762880097.207514,1.52
1762880097.213671,1.5
1762880097.219926,1.48
1762880097.226217,1.52
1762880097.23255,1.54
1762880097.2386281,1.46
1762880097.244902,1.51
1762880097.251128,1.57
1762880097.257445,1.47
1762880097.2636569,1.52
1762880097.2700422,1.53
1762880097.27629,1.51
1762880097.2917829,1.54
1762880097.295885,1.48
1762880097.296061,1.51
1762880097.31248,1.61
1762880097.3126552,1.59
1762880097.3285482,1.65
1762880097.334347,1.66
1762880097.334649,1.68
1762880097.3347158,1.76
1762880097.339801,1.72
1762880097.3450198,1.68
1762880097.351257,1.73
1762880097.357426,1.59
1762880097.36384,1.53
1762880097.369879,1.52
1762880097.376192,1.46
1762880097.382528,1.45
1762880097.388715,1.44
1762880097.39489,1.5
1762880097.401255,1.5
1762880097.407561,1.42
1762880097.4135969,1.49
1762880097.419879,1.46
1762880097.426181,1.46
1762880097.432406,1.52
1762880097.438624,1.46
1762880097.444809,1.5
1762880097.451148,1.52
1762880097.45772,1.46
1762880097.463597,1.56
1762880097.478951,1.55
1762880097.479131,1.48
1762880097.537416,1.59
1762880097.5437381,1.68
1762880097.5500429,1.95
