timestamp,ecg_value
1764750821.40495,1.72
1764750821.411176,1.73
1764750821.417154,1.72
1764750821.423413,1.69
1764750821.4297311,1.67
1764750821.4358668,1.65
1764750821.442215,1.64
1764750821.4489,1.66
1764750821.454603,1.68
1764750821.460971,1.68
1764750821.46716,1.68
1764750821.473432,1.66
1764750821.4796119,1.64
1764750821.4858701,1.63
1764750821.492102,1.63
1764750821.498295,1.64
1764750821.5046961,1.64
1764750821.5108202,1.55
1764750821.517511,1.52
1764750821.523586,1.57
1764750821.5296361,1.49
1764750821.5359979,1.54
1764750821.542072,1.57
1764750821.548762,1.53
1764750821.554585,1.56
1764750821.560831,1.52
1764750821.567049,1.56
1764750821.57323,1.58
1764750821.57952,1.51
1764750821.5857458,1.55
1764750821.591969,1.57
1764750821.598303,1.52
1764750821.604501,1.58
1764750821.610775,1.52
1764750821.6170628,1.52
1764750821.623227,1.57
1764750821.629523,1.5
1764750821.6356921,1.56
1764750821.64203,1.57
1764750821.648289,1.5
1764750821.65444,1.56
1764750821.6608791,1.55
1764750821.667031,1.53
1764750821.673203,1.56
1764750821.679554,1.49
1764750821.685877,1.55
1764750821.69194,1.52
1764750821.698283,1.48
1764750821.704551,1.56
1764750821.710849,1.56
1764750821.71713,1.54
1764750821.723168,1.56
1764750821.729556,1.48
1764750821.7358232,1.51
1764750821.742039,1.6
1764750821.7482638,1.54
1764750821.754551,1.58
1764750821.760764,1.56
1764750821.767025,1.6
1764750821.7733068,1.69
1764750821.779587,1.66
1764750821.785742,1.74
1764750821.791991,1.74
1764750821.798419,1.67
1764750821.8044171,1.66
1764750821.810802,1.61
1764750821.817037,1.59
1764750821.823123,1.59
1764750821.82953,1.5
1764750821.835783,1.53
1764750821.841975,1.5
1764750821.848263,1.47
1764750821.854539,1.6
1764750821.860796,1.48
1764750821.867058,1.47
1764750821.873176,1.59
1764750821.8794858,1.49
1764750821.8860202,1.54
1764750821.8919559,1.58
1764750821.898251,1.51
1764750821.904566,1.54
1764750821.9108312,1.54
1764750821.917016,1.66
1764750821.9232142,2.16
1764750821.929491,2.84
1764750821.935814,3.11
1764750821.942037,2.76
1764750821.948277,1.52
1764750821.954429,0.99
1764750821.960813,1.48
1764750821.967017,1.72
1764750821.973119,1.56
1764750821.9794319,1.41
1764750821.98584,1.54
1764750821.991967,1.54
1764750821.9981718,1.46
1764750822.00467,1.56
1764750822.0107698,1.52
1764750822.0169861,1.5
1764750822.02315,1.59
1764750822.029509,1.53
1764750822.035716,1.55
1764750822.041947,1.56
1764750822.0482,1.52
1764750822.054425,1.61
1764750822.060755,1.58
1764750822.067032,1.56
1764750822.073157,1.63
1764750822.079424,1.57
1764750822.0855849,1.61
1764750822.0920231,1.62
1764750822.098212,1.59
1764750822.104474,1.65
1764750822.110773,1.64
1764750822.1170182,1.63
1764750822.12312,1.71
1764750822.129458,1.67
1764750822.13567,1.72
1764750822.14196,1.73
1764750822.1483278,1.67
1764750822.15443,1.72
1764750822.160641,1.71
1764750822.167109,1.72
1764750822.173097,1.77
1764750822.179413,1.68
1764750822.185704,1.71
1764750822.191972,1.71
1764750822.198156,1.65
1764750822.204413,1.7
1764750822.2108648,1.63
1764750822.217035,1.56
1764750822.223129,1.61
1764750822.229447,1.52
1764750822.235878,1.54
1764750822.241995,1.57
1764750822.2482061,1.5
1764750822.254449,1.53
1764750822.260596,1.51
1764750822.2670279,1.53
1764750822.2731469,1.6
1764750822.2793941,1.53
1764750822.285676,1.58
1764750822.2920818,1.58
1764750822.298195,1.54
1764750822.3044102,1.62
1764750822.310685,1.56
1764750822.316906,1.56
1764750822.323084,1.61
1764750822.329355,1.55
1764750822.335559,1.57
1764750822.3418791,1.62
1764750822.34819,1.58
1764750822.35436,1.6
1764750822.3605828,1.57
1764750822.366836,1.58
1764750822.3730528,1.62
1764750822.379479,1.51
1764750822.385673,1.58
1764750822.3919098,1.66
1764750822.398147,1.57
1764750822.40433,1.59
1764750822.41072,1.53
1764750822.416974,1.58
1764750822.423115,1.64
1764750822.4294221,1.52
1764750822.4356549,1.56
1764750822.441857,1.62
1764750822.44843,1.55
1764750822.4544158,1.61
1764750822.460646,1.56
1764750822.466916,1.55
1764750822.4731362,1.59
1764750822.479438,1.54
1764750822.485742,1.62
1764750822.491943,1.62
1764750822.4980962,1.56
1764750822.504578,1.67
1764750822.510633,1.73
1764750822.51701,1.73
1764750822.5232399,1.72
1764750822.529361,1.72
1764750822.5359738,1.73
1764750822.5419562,1.67
1764750822.5481029,1.64
1764750822.5543392,1.62
1764750822.5606332,1.5
1764750822.566835,1.5
1764750822.573002,1.58
1764750822.579345,1.48
1764750822.585662,1.53
1764750822.5917969,1.57
1764750822.598059,1.51
1764750822.6042628,1.55
1764750822.610622,1.51
1764750822.616889,1.49
1764750822.623147,1.58
1764750822.629317,1.54
1764750822.635586,1.53
1764750822.642166,1.49
1764750822.648225,1.56
1764750822.654358,1.88
1764750822.660545,2.38
1764750822.6667788,3.03
1764750822.673064,3.09
1764750822.6792781,2.39
1764750822.685597,1.23
1764750822.691801,1.16
1764750822.698048,1.62
1764750822.704294,1.69
1764750822.710505,1.49
1764750822.716795,1.5
1764750822.723042,1.6
1764750822.7292402,1.51
1764750822.735616,1.53
1764750822.741792,1.53
1764750822.748063,1.52
1764750822.754315,1.61
1764750822.7605171,1.55
1764750822.766846,1.54
1764750822.7729611,1.6
1764750822.779267,1.54
1764750822.785513,1.56
1764750822.79182,1.58
1764750822.7980769,1.57
1764750822.8042822,1.62
1764750822.810518,1.56
1764750822.816802,1.57
1764750822.822981,1.65
1764750822.829269,1.59
1764750822.835542,1.64
1764750822.8417752,1.65
1764750822.8481228,1.61
1764750822.854254,1.68
1764750822.8738902,1.63
1764750822.892596,1.67
1764750822.902956,1.76
1764750822.904613,1.66
1764750822.924344,1.71
1764750822.924691,1.74
1764750822.924944,1.67
1764750822.9251041,1.74
1764750822.92523,1.71
1764750822.9253252,1.69
1764750822.9254231,1.73
1764750822.929279,1.64
1764750822.9357948,1.67
1764750822.941715,1.64
