timestamp,ecg_value
1764746593.5134048,0.77
1764746593.5196512,0.83
1764746593.526015,0.81
1764746593.5322042,0.84
1764746593.538465,0.98
1764746593.544677,0.78
1764746593.5509639,0.66
1764746593.55722,0.87
1764746593.563516,0.91
1764746593.569675,0.96
1764746593.5759182,1.15
1764746593.5820959,1.21
1764746593.588321,1.3
1764746593.594767,1.44
1764746593.600851,1.51
1764746593.607123,1.6
1764746593.6132638,1.67
1764746593.619631,1.76
1764746593.625855,1.81
1764746593.632042,1.74
1764746593.638355,1.76
1764746593.644568,1.84
1764746593.650893,1.79
1764746593.6570911,1.85
1764746593.6634219,1.81
1764746593.669591,1.96
1764746593.67607,2.21
1764746593.682094,2.17
1764746593.6883242,2.23
1764746593.6946208,2.28
1764746593.700908,2.22
1764746593.7071302,2.32
1764746593.7135239,2.34
1764746593.71964,2.31
1764746593.725882,2.39
1764746593.732256,2.41
1764746593.738374,2.45
1764746593.744809,2.48
1764746593.750924,2.45
1764746593.757386,2.55
1764746593.763336,2.51
1764746593.7696378,2.52
1764746593.7759612,2.64
1764746593.7822661,2.59
1764746593.788445,2.62
1764746593.794667,2.72
1764746593.800899,2.77
1764746593.807157,2.76
1764746593.81343,2.61
1764746593.819632,2.61
1764746593.825817,2.66
1764746593.832042,2.34
1764746593.838331,2.27
1764746593.844789,2.35
1764746593.850924,2.24
1764746593.857156,2.31
1764746593.863399,2.28
1764746593.8696508,2.2
1764746593.8761542,2.26
1764746593.881998,2.2
1764746593.888333,2.21
1764746593.894677,2.24
1764746593.900888,2.16
1764746593.907068,2.14
1764746593.9133599,2.19
1764746593.919538,2.65
1764746593.92607,3.17
1764746593.932034,3.17
1764746593.938445,3.17
1764746593.949267,3.03
1764746593.958642,1.66
1764746593.976119,1.49
1764746594.002344,2.02
1764746594.0024052,2.17
1764746594.002471,2.0
1764746594.002523,1.91
1764746594.0025768,2.01
1764746594.003895,2.04
1764746594.003956,1.94
1764746594.01074,2.02
1764746594.013225,2.0
1764746594.0304031,1.97
1764746594.030498,2.09
1764746594.032026,2.05
1764746594.0382771,2.07
1764746594.046311,2.08
1764746594.050808,2.04
1764746594.05707,2.17
1764746594.06355,2.12
1764746594.069682,2.11
1764746594.075809,2.21
1764746594.082149,2.16
1764746594.088307,2.2
1764746594.0945961,2.27
1764746594.1008582,2.21
1764746594.107081,2.25
1764746594.113309,2.25
1764746594.1196558,2.23
1764746594.1262562,2.21
1764746594.1319702,2.12
1764746594.138276,2.17
1764746594.1445389,2.14
1764746594.150802,2.0
1764746594.1569998,2.05
1764746594.16346,2.0
1764746594.169575,1.98
1764746594.175794,1.98
1764746594.1819808,1.93
1764746594.1882932,2.03
1764746594.194423,2.0
1764746594.2007182,1.95
1764746594.207026,2.04
1764746594.213301,1.96
1764746594.219436,1.95
1764746594.226434,2.0
1764746594.232002,1.93
1764746594.238271,1.97
1764746594.245047,1.96
1764746594.250787,1.88
1764746594.256972,1.9
1764746594.263253,1.88
1764746594.269523,1.91
1764746594.2759,2.0
1764746594.2819421,1.97
1764746594.2882419,1.99
1764746594.29464,2.01
1764746594.3007412,2.08
1764746594.307018,2.21
1764746594.313309,2.08
1764746594.319608,2.0
1764746594.326543,2.06
1764746594.3319309,1.86
1764746594.3382158,1.74
1764746594.344728,1.74
1764746594.350785,1.68
1764746594.357097,1.69
1764746594.363272,1.61
1764746594.369508,1.68
1764746594.37694,1.74
1764746594.3819609,1.6
1764746594.388261,1.68
1764746594.3946,1.72
1764746594.400769,1.65
1764746594.406927,1.71
1764746594.41325,1.74
1764746594.419459,1.9
1764746594.4263659,2.64
1764746594.431966,3.15
1764746594.438215,3.1
1764746594.444373,2.29
1764746594.4506938,0.98
1764746594.456969,1.2
1764746594.4631739,1.67
1764746594.469495,1.57
1764746594.4761379,1.41
1764746594.481906,1.44
1764746594.488149,1.58
1764746594.494355,1.5
1764746594.500635,1.47
1764746594.506868,1.62
1764746594.5132108,1.54
1764746594.51948,1.5
1764746594.525784,1.59
1764746594.5319831,1.56
1764746594.5381892,1.61
1764746594.544447,1.59
1764746594.5506518,1.56
1764746594.55694,1.66
1764746594.563164,1.61
1764746594.56943,1.61
1764746594.5761018,1.72
1764746594.58196,1.69
1764746594.588178,1.74
1764746594.594423,1.76
1764746594.600665,1.72
1764746594.606855,1.79
1764746594.6131752,1.8
1764746594.6194088,1.79
1764746594.625775,1.72
1764746594.6318731,1.59
1764746594.63811,1.72
1764746594.644373,1.68
1764746594.650629,1.53
1764746594.656854,1.55
1764746594.663188,1.5
1764746594.6693912,1.52
1764746594.6758678,1.55
1764746594.6818829,1.46
1764746594.68809,1.49
1764746594.6943831,1.51
1764746594.7006311,1.47
1764746594.707065,1.5
1764746594.713204,1.46
1764746594.719303,1.43
1764746594.7260952,1.42
1764746594.731972,1.29
1764746594.738195,1.32
1764746594.744499,1.29
1764746594.75056,1.18
1764746594.757102,1.28
1764746594.763229,1.2
1764746594.769335,1.2
1764746594.7759209,1.27
1764746594.7818828,1.28
1764746594.788191,1.34
1764746594.7943318,1.31
1764746594.800595,1.33
1764746594.8069508,1.52
1764746594.8132129,1.51
1764746594.819413,1.42
1764746594.825779,1.4
1764746594.831869,1.35
1764746594.838115,1.22
1764746594.844325,1.07
1764746594.850631,1.05
1764746594.8568032,1.09
1764746594.863109,0.95
1764746594.869407,1.02
1764746594.8756201,1.08
1764746594.8819041,0.99
1764746594.888072,1.07
1764746594.894366,1.08
1764746594.900612,0.99
1764746594.906842,1.05
1764746594.913134,1.01
1764746594.9193878,1.06
1764746594.926442,1.4
1764746594.9318569,2.09
1764746594.9380832,2.66
1764746594.9444952,2.45
1764746594.950592,1.29
1764746594.956821,0.39
1764746594.963052,0.72
1764746594.969313,1.18
1764746594.975716,1.09
1764746594.981915,0.85
1764746594.988014,1.0
1764746594.9942741,1.04
1764746595.000524,0.98
1764746595.006762,1.0
1764746595.0130281,0.98
1764746595.01923,1.09
1764746595.025623,1.13
1764746595.031955,1.01
1764746595.0379798,1.12
1764746595.0441651,1.12
1764746595.050535,1.08
1764746595.056736,1.21
1764746595.062986,1.14
1764746595.0692558,1.1
1764746595.075614,1.2
1764746595.081763,1.21
1764746595.088021,1.28
1764746595.094306,1.27
1764746595.100555,1.26
1764746595.106787,1.39
1764746595.113052,1.37
1764746595.1193972,1.36
1764746595.125589,1.41
1764746595.131951,1.31
1764746595.1381571,1.33
1764746595.1443741,1.31
1764746595.15065,1.27
1764746595.1567712,1.32
1764746595.162956,1.22
1764746595.16925,1.22
1764746595.175551,1.26
1764746595.181788,1.19
1764746595.187949,1.25
1764746595.1943119,1.26
1764746595.200526,1.23
1764746595.206812,1.31
1764746595.213036,1.25
1764746595.219258,1.27
1764746595.225782,1.32
1764746595.23184,1.24
1764746595.238057,1.28
1764746595.244338,1.26
1764746595.250546,1.27
1764746595.256744,1.38
1764746595.2630389,1.28
1764746595.269283,1.29
1764746595.2756171,1.35
1764746595.2818801,1.28
1764746595.2881641,1.39
1764746595.294307,1.47
1764746595.30054,1.43
1764746595.306748,1.48
1764746595.313024,1.53
1764746595.319656,1.64
1764746595.325453,1.65
1764746595.331809,1.52
1764746595.3379898,1.57
1764746595.344245,1.5
1764746595.3505542,1.27
1764746595.357131,1.3
1764746595.362946,1.26
1764746595.369215,1.24
1764746595.375456,1.3
1764746595.381768,1.24
1764746595.3879712,1.28
1764746595.394173,1.25
1764746595.400484,1.27
1764746595.40671,1.37
1764746595.4129632,1.28
1764746595.419467,1.23
1764746595.4254951,1.27
1764746595.431736,1.34
1764746595.4378822,1.94
1764746595.460192,2.73
1764746595.49854,2.87
1764746595.50416,2.47
1764746595.505634,1.15
1764746595.5250392,0.66
1764746595.528304,1.29
1764746595.529427,1.41
1764746595.5300522,1.29
1764746595.5303528,1.26
1764746595.530581,1.3
1764746595.530966,1.4
1764746595.531404,1.35
1764746595.531807,1.4
1764746595.532042,1.45
1764746595.532628,1.38
1764746595.538605,1.48
1764746595.5446458,1.51
1764746595.550538,1.45
1764746595.556842,1.53
1764746595.563015,1.54
1764746595.5692842,1.59
1764746595.575577,1.66
1764746595.581853,1.62
1764746595.588028,1.72
1764746595.594371,1.75
1764746595.600628,1.75
1764746595.606781,1.88
1764746595.613461,1.87
1764746595.619189,1.91
1764746595.6255202,1.97
1764746595.6318521,1.87
1764746595.637892,1.91
1764746595.6441522,1.93
1764746595.650356,1.85
1764746595.656684,1.94
1764746595.663041,1.87
1764746595.6691148,1.81
1764746595.6756659,1.83
