timestamp,ecg_value
1764746312.540732,0.89
1764746312.54716,1.02
1764746312.5533109,1.0
1764746312.559534,0.95
1764746312.565909,1.09
1764746312.5720608,0.93
1764746312.5783548,0.96
1764746312.584518,1.06
1764746312.590797,0.89
1764746312.597016,1.04
1764746312.603213,1.0
1764746312.610502,0.89
1764746312.6157792,0.99
1764746312.622012,0.89
1764746312.628473,0.92
1764746312.634559,1.02
1764746312.6407108,0.9
1764746312.646993,1.04
1764746312.653335,0.99
1764746312.659636,0.88
1764746312.665792,1.04
1764746312.672024,0.92
1764746312.678355,0.93
1764746312.684494,1.05
1764746312.690701,0.76
1764746312.6969888,0.84
1764746312.7031722,0.86
1764746312.709627,0.8
1764746312.7156758,0.92
1764746312.721955,0.82
1764746312.728309,0.84
1764746312.734428,0.82
1764746312.740788,0.78
1764746312.747023,1.01
1764746312.7534,0.98
1764746312.759802,0.86
1764746312.76587,0.97
1764746312.771997,0.79
1764746312.778323,0.87
1764746312.784485,1.0
1764746312.790685,0.83
1764746312.7969449,0.9
1764746312.803182,0.92
1764746312.809772,0.97
1764746312.815605,1.1
1764746312.821934,0.95
1764746312.828193,1.11
1764746312.834399,1.29
1764746312.840734,1.11
1764746312.846913,1.19
1764746312.853129,1.22
1764746312.859494,1.11
1764746312.865633,0.9
1764746312.871875,0.65
1764746312.878112,0.92
1764746312.8844008,0.89
1764746312.89072,0.5
1764746312.896929,0.72
1764746312.903214,0.84
1764746312.9094532,0.72
1764746312.915627,0.8
1764746312.9219189,0.77
1764746312.928244,0.89
1764746312.934382,0.82
1764746312.9406369,0.61
1764746312.946902,1.02
1764746312.953204,1.35
1764746312.959428,1.92
1764746312.965621,2.54
1764746312.971948,2.34
1764746312.978575,1.41
1764746312.984465,0.41
1764746312.9906209,0.55
1764746312.996887,1.15
1764746313.003179,1.0
1764746313.0094469,0.8
1764746313.015563,1.0
1764746313.021912,0.95
1764746313.028456,0.93
1764746313.03452,0.97
1764746313.040586,0.95
1764746313.0468538,1.14
1764746313.053162,0.99
1764746313.059364,0.98
1764746313.065773,1.22
1764746313.071936,1.08
1764746313.078264,1.11
1764746313.084479,1.12
1764746313.090624,1.11
1764746313.097046,1.21
1764746313.103157,1.19
1764746313.109511,1.24
1764746313.115572,1.39
1764746313.1219578,1.24
1764746313.128254,1.25
1764746313.13443,1.39
1764746313.140598,1.39
1764746313.14702,1.52
1764746313.1531148,1.37
1764746313.159733,1.37
1764746313.165748,1.53
1764746313.171878,1.35
1764746313.178169,1.45
1764746313.1843982,1.49
1764746313.19068,1.36
1764746313.19691,1.52
1764746313.203211,1.4
1764746313.209588,1.3
1764746313.215622,1.49
1764746313.2218082,1.41
1764746313.228116,1.4
1764746313.23431,1.37
1764746313.240663,1.28
1764746313.246788,1.51
1764746313.253022,1.47
1764746313.259469,1.35
1764746313.265567,1.54
1764746313.277299,1.57
1764746313.3269088,1.48
1764746313.333497,1.52
1764746313.3338208,1.46
1764746313.333914,1.64
1764746313.334023,1.44
1764746313.33409,1.35
1764746313.334157,1.41
1764746313.3358011,1.41
1764746313.335912,1.48
1764746313.335989,1.47
1764746313.340697,1.31
1764746313.346823,1.33
1764746313.353028,1.35
1764746313.3593311,1.38
1764746313.365944,1.5
1764746313.371974,1.43
1764746313.378207,1.64
1764746313.384355,1.77
1764746313.390699,1.52
1764746313.397024,1.51
1764746313.403774,1.39
1764746313.4094222,1.21
1764746313.4157388,1.32
1764746313.421917,1.17
1764746313.42862,1.19
1764746313.4347389,1.21
1764746313.44077,1.05
1764746313.4468732,1.23
1764746313.4531798,1.26
1764746313.459353,1.13
1764746313.465712,1.33
1764746313.471818,1.16
1764746313.4783292,1.07
1764746313.4843788,1.29
1764746313.490634,1.33
1764746313.49685,1.63
1764746313.5032551,2.22
1764746313.509598,2.81
1764746313.515521,2.91
1764746313.521785,1.86
1764746313.528144,0.76
1764746313.534362,1.2
1764746313.540496,1.31
1764746313.546805,1.26
1764746313.5529358,1.21
1764746313.5593631,1.21
1764746313.565622,1.32
1764746313.5717602,1.13
1764746313.5781069,1.26
1764746313.5842812,1.43
1764746313.590508,1.22
1764746313.596748,1.32
1764746313.603012,1.49
1764746313.6096902,1.58
1764746313.615534,1.37
1764746313.621863,1.18
1764746313.62818,1.43
1764746313.634239,1.58
1764746313.640524,1.51
1764746313.6467211,1.55
1764746313.653004,1.71
1764746313.659332,1.59
1764746313.665536,1.68
1764746313.671694,1.84
1764746313.6785111,1.91
1764746313.684576,1.87
1764746313.690536,1.71
1764746313.6967769,1.96
1764746313.703028,2.18
1764746313.709315,1.92
1764746313.715498,1.99
1764746313.721706,1.96
1764746313.728019,2.13
1764746313.7342908,2.34
1764746313.740488,2.18
1764746313.746716,2.38
1764746313.752932,2.37
1764746313.759568,2.3
1764746313.765579,2.48
1764746313.771777,2.63
1764746313.778208,2.5
1764746313.784557,2.2
1764746313.790653,2.02
1764746313.796844,2.36
1764746313.80309,2.34
1764746313.810048,2.13
1764746313.815579,2.3
1764746313.8217971,2.38
1764746313.828135,2.72
1764746313.834392,2.3
1764746313.840616,1.94
1764746313.846768,1.94
1764746313.8530078,1.68
1764746313.859327,1.58
1764746313.865559,1.75
1764746313.871832,1.6
1764746313.878169,1.65
1764746313.8842392,1.71
1764746313.890537,1.7
1764746313.8967612,1.85
1764746313.903091,1.55
1764746313.909247,1.85
1764746313.915526,2.49
1764746313.921678,1.69
1764746313.92798,1.62
1764746313.9342148,2.0
1764746313.9405172,1.96
1764746313.946778,1.35
1764746313.9529212,1.4
1764746313.959536,1.78
1764746313.965408,1.65
1764746313.9718,1.11
1764746313.977965,1.34
1764746313.98434,1.47
1764746313.990594,1.25
1764746313.996625,1.45
1764746314.003181,1.1
1764746314.0093389,1.03
1764746314.015436,1.66
1764746314.02175,1.46
1764746314.028116,1.2
1764746314.034212,1.23
1764746314.04061,1.3
1764746314.046834,1.6
1764746314.052984,1.1
1764746314.0597708,2.09
1764746314.0654578,3.15
1764746314.071852,2.84
1764746314.078239,1.77
1764746314.084272,0.71
