sample_index,timestamp_s
110,1762880119.104630947
243,1762880119.935733080
365,1762880120.698019981
490,1762880121.479212999
617,1762880122.272844076
737,1762880123.022595167
855,1762880123.759958029
979,1762880124.534917116
1115,1762880125.384697199
1252,1762880126.240792036
1384,1762880127.065648079
1505,1762880127.821872234
1623,1762880128.559237957
1748,1762880129.340044975
1882,1762880130.177488804
2021,1762880131.046021223
2160,1762880131.914616108
2289,1762880132.720695972
2425,1762880133.570662975
2564,1762880134.439109087
2709,1762880135.345181942
2847,1762880136.207391024
2979,1762880137.032247066
