sample_index,timestamp_s
35,1764746252.759651899
138,1764746253.403552055
238,1764746254.028350115
334,1764746254.628025055
432,1764746255.240464926
528,1764746255.852581024
623,1764746256.434749842
714,1764746257.002648115
810,1764746257.602413893
908,1764746258.214783907
1007,1764746258.834006071
1109,1764746259.470851183
1207,1764746260.083516836
1304,1764746260.689483881
1406,1764746261.326612949
1509,1764746261.970341206
1612,1764746262.613872051
1716,1764746263.270772934
1819,1764746263.907332182
1918,1764746264.526022911
2014,1764746265.125904799
2108,1764746265.713294029
2200,1764746266.288062096
2290,1764746266.850426912
2381,1764746267.419059038
2472,1764746267.987782955
2563,1764746268.556499958
2653,1764746269.118760109
2742,1764746269.675479889
2831,1764746270.231009960
2920,1764746270.787102938
3009,1764746271.343343019
3099,1764746271.906343937
3188,1764746272.461808920
3276,1764746273.011563063
3363,1764746273.555388927
3451,1764746274.105400085
3537,1764746274.642796993
3623,1764746275.179857969
3710,1764746275.723631144
3803,1764746276.304666042
3921,1764746277.052675009
4033,1764746277.741909027
4134,1764746278.372997999
4231,1764746278.979126930
4332,1764746279.610256910
4432,1764746280.235247135
4529,1764746280.841412067
4624,1764746281.434969187
4718,1764746282.022229910
