sample_index,timestamp_s
5,1764746222.569396019
72,1764746223.078554869
164,1764746224.091070890
294,1764746224.903152227
391,1764746225.509285212
486,1764746226.102835894
579,1764746226.684006929
673,1764746227.271893978
766,1764746227.852666855
858,1764746228.427365780
950,1764746229.012250185
1040,1764746229.564677954
1129,1764746230.120796919
1204,1764746230.714416027
1284,1764746231.214373827
1370,1764746231.751799107
1454,1764746232.276538849
1539,1764746232.807754993
1627,1764746233.357671976
1729,1764746233.994965076
1830,1764746234.626039028
1929,1764746235.244784832
2023,1764746235.832063913
2122,1764746236.450666904
2234,1764746237.150749922
2346,1764746237.850383043
2458,1764746238.550160885
2563,1764746239.206305027
2666,1764746239.849951982
2767,1764746240.481222868
2870,1764746241.124671936
2975,1764746241.780861855
3081,1764746242.443181992
3185,1764746243.093034029
3381,1764746244.317749977
3478,1764746244.923839092
3574,1764746245.523774862
3669,1764746246.117374897
3762,1764746246.698554993
3855,1764746247.279689074
3948,1764746247.860692978
4042,1764746248.448137999
4135,1764746249.029253960
4228,1764746249.610476971
4320,1764746250.185288906
4414,1764746250.772645235
4517,1764746251.416272879
4624,1764746252.085057020
4732,1764746252.759652138
4835,1764746253.403552055
4935,1764746254.028349876
5031,1764746254.628025055
5129,1764746255.240464926
5225,1764746255.852581024
5320,1764746256.434749842
5411,1764746257.002648115
5507,1764746257.602414131
5605,1764746258.214783907
5704,1764746258.834006071
5806,1764746259.470851183
5904,1764746260.083516836
6001,1764746260.689484119
6103,1764746261.326612949
6206,1764746261.970341206
6309,1764746262.613872051
6413,1764746263.270772934
6516,1764746263.907332182
6615,1764746264.526022911
6711,1764746265.125904799
6805,1764746265.713294029
6897,1764746266.288061857
6987,1764746266.850426912
7078,1764746267.419059038
7169,1764746267.987782955
7260,1764746268.556499958
7350,1764746269.118759871
7439,1764746269.675480127
7528,1764746270.231009960
7617,1764746270.787102938
7706,1764746271.343343019
7796,1764746271.906343937
7885,1764746272.461808920
7973,1764746273.011563063
8060,1764746273.555388927
8148,1764746274.105400085
8234,1764746274.642796993
8320,1764746275.179857969
8407,1764746275.723631144
8500,1764746276.304666042
8618,1764746277.052675009
8730,1764746277.741909027
8831,1764746278.372997999
8928,1764746278.979126930
9029,1764746279.610256910
9129,1764746280.235247135
9226,1764746280.841412067
9321,1764746281.434969187
9415,1764746282.022229910
9507,1764746282.597110987
9600,1764746283.182948112
9694,1764746283.765720129
9786,1764746284.340467930
9877,1764746284.909147978
9967,1764746285.471474886
10057,1764746286.033869028
10147,1764746286.596637011
10237,1764746287.158824921
10328,1764746287.727294922
10416,1764746288.277148962
10504,1764746288.827260971
10593,1764746289.404892921
10681,1764746289.933018923
10766,1764746290.464208841
10852,1764746291.001576900
10937,1764746291.532692909
11023,1764746292.070140839
11110,1764746292.613744020
11200,1764746293.176099062
11288,1764746293.726166010
11375,1764746294.269627810
11463,1764746294.819529057
11552,1764746295.375550985
11641,1764746295.931749105
11729,1764746296.481662989
11817,1764746297.031517982
11906,1764746297.587857008
11994,1764746298.137855053
12083,1764746298.728487015
12172,1764746299.249778986
12260,1764746299.799762011
12349,1764746300.355845213
12438,1764746300.912009001
12527,1764746301.468204021
12616,1764746302.024572849
12706,1764746302.586691141
12797,1764746303.155310154
12886,1764746303.711422920
12977,1764746304.280021906
13067,1764746304.842443943
13157,1764746305.404823065
13246,1764746305.960891962
13334,1764746306.516134977
13420,1764746307.048509836
13508,1764746307.598096848
13595,1764746308.141866922
13681,1764746308.679137945
13766,1764746309.210289955
13850,1764746309.736799955
13934,1764746310.259951115
14017,1764746310.778628111
14100,1764746311.297235966
14187,1764746311.840944052
14278,1764746312.409754038
