sample_index,timestamp_s
67,1764746593.932034016
147,1764746594.431966066
228,1764746594.938083172
309,1764746595.460191965
391,1764746595.956608057
472,1764746596.462739944
553,1764746596.969034910
635,1764746597.481423855
718,1764746597.999969006
801,1764746598.518826008
883,1764746599.030938148
966,1764746599.549599886
1049,1764746600.078147173
1131,1764746600.580616951
1212,1764746601.086903095
1293,1764746601.592804193
1373,1764746602.092767000
1534,1764746603.098834038
1617,1764746603.617499828
1698,1764746604.123615026
1782,1764746604.678715944
1866,1764746605.173274994
1951,1764746605.704427958
2036,1764746606.235897064
2122,1764746606.773080111
2212,1764746607.335392952
2389,1764746608.441317081
2478,1764746608.998018980
2568,1764746609.559805870
2660,1764746610.134776115
2752,1764746610.712955952
2842,1764746611.271951199
2933,1764746611.840638876
3026,1764746612.421809912
3124,1764746613.034075975
3221,1764746613.640281200
3316,1764746614.233875036
3411,1764746614.827713013
3509,1764746615.439866066
3608,1764746616.058467150
3702,1764746616.646611929
3798,1764746617.245682955
3893,1764746617.839267015
3987,1764746618.426790953
4078,1764746618.995444059
4169,1764746619.564117908
4262,1764746620.145299911
4360,1764746620.757503033
4457,1764746621.363515854
4557,1764746621.988432884
4658,1764746622.619674921
4756,1764746623.231941223
