file,fs_hz,max_hr,st_label,oldpeak,resting_ecg
exercise_ecg_long_chunk_0009_1764746492_1764746522,160.1,200.0,Up,-0.046,Normal
exercise_ecg_long_chunk_0009_1764746492_1764746522_chunk_0000_1764746492_1764746502,160.23,181.1,Up,-0.237,ST
exercise_ecg_long_chunk_0009_1764746492_1764746522_chunk_0001_1764746502_1764746512,160.1,174.5,Up,0.027,Normal
exercise_ecg_long_chunk_0009_1764746492_1764746522_chunk_0002_1764746512_1764746522,160.0,200.0,Up,0.042,Normal
rest_ecg_data_20251112_005227,160.06,80.7,Down,-0.11,ST
rest_ecg_data_20251112_005303,160.2,85.7,Down,-0.097,ST
rest_ecg_data_20251112_005347,160.13,83.5,Down,-0.118,ST
rest_ecg_data_20251112_005409,160.13,78.0,Down,-0.106,ST
rest_ecg_data_20251112_005431,160.16,78.7,Down,-0.106,ST
rest_ecg_data_20251112_005452,160.18,91.4,Down,-0.106,ST
rest_ecg_data_20251112_005516,160.12,81.4,Down,-0.108,ST
rest_ecg_data_20251112_005540,160.12,76.2,Down,-0.112,ST
rest_ecg_data_20251112_005604,160.08,79.3,Down,-0.105,ST
rest_ecg_data_20251203_135222,160.11,99.0,Down,-0.13,ST
rest_ecg_data_20251112_005227,160.06,80.7,Down,-0.11,ST
rest_ecg_data_20251112_005303,160.2,85.7,Down,-0.097,ST
rest_ecg_data_20251112_005347,160.13,83.5,Down,-0.118,ST
rest_ecg_data_20251112_005409,160.13,78.0,Down,-0.106,ST
rest_ecg_data_20251112_005431,160.16,78.7,Down,-0.106,ST
rest_ecg_data_20251112_005452,160.18,91.4,Down,-0.106,ST
rest_ecg_data_20251112_005516,160.12,81.4,Down,-0.108,ST
rest_ecg_data_20251112_005540,160.12,76.2,Down,-0.112,ST
rest_ecg_data_20251112_005604,160.08,79.3,Down,-0.105,ST
rest_ecg_data_20251203_135222,160.11,99.0,Down,-0.13,ST
