sample_index,timestamp_s
36,1764746462.764790058
106,1764746463.202143908
147,1764746463.458375931
249,1764746464.095828056
321,1764746464.545764208
406,1764746465.076870918
465,1764746465.445382118
537,1764746465.895272017
609,1764746466.345213890
681,1764746466.795176029
752,1764746467.238805056
800,1764746467.538895845
897,1764746468.144895077
967,1764746468.582643986
1111,1764746469.482103109
1183,1764746469.931973934
1256,1764746470.388222933
1329,1764746470.844237089
1403,1764746471.306863070
1491,1764746471.856543064
1548,1764746472.212810040
1590,1764746472.475358963
1622,1764746472.675151825
1694,1764746473.125080109
1775,1764746473.631173134
1839,1764746474.031157970
1983,1764746474.930876970
2058,1764746475.399554968
2151,1764746475.980601072
2205,1764746476.340584040
2289,1764746476.842933893
2351,1764746477.230495930
2425,1764746477.692800045
2498,1764746478.148941994
2572,1764746478.611455917
2645,1764746479.067425013
2717,1764746479.517420053
2791,1764746479.979806900
2863,1764746480.429656982
2915,1764746480.754713058
3010,1764746481.350392103
3065,1764746481.691900969
3229,1764746482.716625929
3305,1764746483.191710949
3379,1764746483.654421091
3455,1764746484.128880978
3530,1764746484.597925901
3606,1764746485.072510958
3680,1764746485.534873009
3758,1764746486.050866842
3835,1764746486.503729820
3911,1764746486.978211164
3988,1764746487.459499121
4065,1764746487.940565109
4142,1764746488.421694040
4221,1764746488.915425062
4298,1764746489.396537066
4376,1764746489.884181023
4453,1764746490.365077019
4531,1764746490.853212118
4610,1764746491.346276045
4687,1764746491.827193022
4764,1764746492.308425903
