iter	Passed	Remaining
0	3	3120
1	5	2791
2	9	3139
3	13	3344
4	16	3250
5	19	3282
6	23	3321
7	26	3320
8	29	3231
9	31	3131
10	34	3091
11	37	3047
12	39	2988
13	41	2942
14	43	2880
15	45	2827
16	48	2789
17	50	2742
18	52	2685
19	53	2630
20	55	2592
21	57	2549
22	58	2495
23	60	2442
24	61	2401
25	63	2374
26	64	2338
27	66	2302
28	67	2263
29	68	2228
30	70	2203
31	71	2176
32	73	2150
33	74	2121
34	75	2092
35	77	2066
36	78	2050
37	79	2024
38	81	2001
39	82	1984
40	84	1972
41	85	1959
42	87	1944
43	88	1929
44	90	1913
45	91	1897
46	92	1885
47	94	1871
48	95	1857
49	96	1842
50	98	1829
51	99	1816
52	101	1805
53	102	1796
54	103	1785
55	104	1764
56	105	1752
57	107	1743
58	108	1735
59	110	1728
60	111	1715
61	112	1706
62	114	1698
63	115	1689
64	116	1681
65	118	1676
66	119	1669
67	121	1664
68	122	1659
69	124	1654
70	126	1651
71	127	1645
72	129	1640
73	130	1636
74	132	1631
75	133	1628
76	135	1625
77	137	1624
78	138	1620
79	140	1617
80	142	1615
81	143	1610
82	145	1604
83	146	1599
84	148	1600
85	150	1598
86	152	1597
87	153	1594
88	155	1591
89	157	1588
90	158	1585
91	160	1581
92	161	1577
93	163	1573
94	164	1570
95	166	1569
96	168	1566
97	169	1561
98	171	1561
99	173	1560
100	174	1557
101	176	1554
102	178	1550
103	179	1548
104	181	1548
105	183	1544
106	184	1539
107	186	1536
108	187	1534
109	189	1532
110	190	1528
111	192	1524
112	193	1520
113	195	1518
114	197	1516
115	198	1512
116	199	1508
117	201	1504
118	202	1502
119	204	1499
120	205	1495
121	207	1492
122	208	1489
123	210	1488
124	212	1486
125	213	1483
126	215	1478
127	216	1475
128	218	1472
129	219	1470
130	220	1465
131	222	1462
132	223	1459
133	225	1456
134	226	1454
135	228	1450
136	229	1445
137	230	1439
138	231	1436
139	233	1433
140	234	1427
141	235	1424
142	237	1421
143	239	1421
144	240	1419
145	242	1417
146	244	1416
147	245	1414
148	247	1412
149	248	1409
150	250	1408
151	252	1407
152	253	1403
153	255	1401
154	256	1399
155	258	1397
156	259	1395
157	261	1392
158	262	1389
159	264	1387
160	265	1384
161	267	1381
162	268	1378
163	269	1375
164	271	1372
165	272	1368
166	273	1366
167	275	1363
168	276	1360
169	277	1357
170	279	1353
171	280	1350
172	282	1348
173	283	1346
174	284	1343
175	286	1340
176	287	1336
177	288	1333
178	290	1331
179	291	1328
180	292	1325
181	294	1322
182	295	1317
183	296	1316
184	298	1314
185	299	1311
186	300	1308
187	302	1305
188	303	1302
189	305	1301
190	306	1298
191	307	1295
192	309	1293
193	310	1290
194	312	1289
195	313	1286
196	315	1284
197	316	1281
198	317	1276
199	318	1273
200	320	1272
201	321	1270
202	322	1267
203	324	1265
204	325	1262
205	327	1260
206	328	1258
207	330	1256
208	331	1254
209	332	1251
210	334	1249
211	335	1247
212	336	1244
213	338	1242
214	339	1238
215	340	1236
216	341	1233
217	343	1232
218	344	1230
219	346	1228
220	347	1225
221	348	1222
222	350	1220
223	351	1218
224	353	1216
225	354	1214
226	355	1211
227	357	1209
228	358	1206
229	360	1205
230	361	1203
231	362	1201
232	364	1198
233	365	1195
234	366	1194
235	368	1192
236	369	1190
237	371	1188
238	372	1186
239	374	1184
240	375	1183
241	377	1181
242	378	1179
243	379	1176
244	381	1174
245	382	1173
246	384	1171
247	385	1169
248	386	1166
249	388	1164
250	389	1162
251	390	1160
252	392	1158
253	393	1156
254	394	1153
255	396	1151
256	397	1149
257	399	1148
258	400	1146
259	402	1144
260	403	1142
261	404	1140
262	406	1139
263	408	1137
264	409	1136
265	411	1134
266	412	1132
267	414	1132
268	416	1131
269	417	1130
270	419	1128
271	421	1127
272	422	1126
273	424	1124
274	425	1122
275	427	1120
276	428	1119
277	430	1117
278	431	1115
279	432	1113
280	434	1111
281	435	1109
282	437	1107
283	438	1105
284	439	1103
285	441	1101
286	442	1099
287	444	1098
288	445	1096
289	447	1095
290	448	1093
291	450	1091
292	451	1089
293	452	1087
294	454	1085
295	455	1083
296	457	1081
297	458	1079
298	459	1077
299	461	1076
300	462	1074
301	464	1073
302	465	1070
303	466	1068
304	468	1067
305	469	1065
306	471	1063
307	472	1061
308	473	1059
309	475	1057
310	476	1055
311	478	1054
312	479	1052
313	480	1050
314	481	1048
315	483	1046
316	484	1044
317	486	1043
318	487	1041
319	489	1039
320	490	1037
321	492	1036
322	493	1034
323	494	1032
324	496	1030
325	497	1028
326	499	1027
327	500	1025
328	501	1023
329	503	1021
330	504	1018
331	505	1016
332	506	1015
333	508	1013
334	509	1011
335	511	1009
336	512	1008
337	513	1006
338	515	1004
339	516	1003
340	518	1001
341	519	999
342	520	997
343	522	996
344	523	994
345	525	993
346	526	991
347	528	989
348	529	987
349	530	986
350	532	984
351	534	983
352	535	981
353	536	979
354	538	978
355	539	976
356	541	975
357	542	973
358	544	971
359	545	970
360	547	968
361	548	967
362	550	965
363	551	964
364	553	962
365	554	961
366	556	959
367	557	957
368	559	956
369	560	954
370	561	952
371	563	951
372	564	949
373	566	948
374	567	946
375	569	944
376	571	943
377	572	941
378	573	939
379	574	938
380	576	936
