timestamp,ecg_value
1762879984.922634,1.86
1762879984.928739,1.82
1762879984.9350731,1.79
1762879984.941062,1.77
1762879984.9472451,1.76
1762879984.9535859,1.76
1762879984.9598951,1.75
1762879984.966024,1.73
1762879984.972297,1.69
1762879984.978524,1.64
1762879984.984799,1.61
1762879984.9910378,1.63
1762879984.997442,1.67
1762879985.00389,1.71
1762879985.009811,1.74
1762879985.016116,1.74
1762879985.022354,1.69
1762879985.031266,1.5
1762879985.0426319,1.5
1762879985.098531,1.49
1762879985.098836,1.41
1762879985.099034,1.46
1762879985.0992079,1.42
1762879985.099303,1.42
1762879985.0994968,1.47
1762879985.0996559,1.37
1762879985.099753,1.38
1762879985.099839,1.45
1762879985.0999758,1.43
1762879985.103534,1.46
1762879985.112759,1.43
1762879985.116565,1.38
1762879985.1225102,1.46
1762879985.1284091,1.47
1762879985.13469,1.49
1762879985.140921,1.48
1762879985.147161,1.4
1762879985.154117,1.51
1762879985.15982,1.5
1762879985.165975,1.5
1762879985.172268,1.54
1762879985.178417,1.45
1762879985.1849759,1.54
1762879985.190943,1.85
1762879985.1971788,2.36
1762879985.203922,1.55
1762879985.2097101,0.7
1762879985.2159932,1.23
1762879985.222239,1.68
1762879985.2284448,1.36
1762879985.23471,1.32
1762879985.240983,1.5
1762879985.247348,1.46
1762879985.2540119,1.47
1762879985.25969,1.51
1762879985.266044,1.53
1762879985.2722309,1.62
1762879985.278496,1.63
1762879985.2856162,1.58
1762879985.2909598,1.8
1762879985.297167,2.02
1762879985.303869,2.11
1762879985.3096588,1.4
1762879985.315938,1.23
1762879985.3222752,1.65
1762879985.328423,1.55
1762879985.334754,1.3
1762879985.3410938,1.36
1762879985.347299,1.39
1762879985.353411,1.49
1762879985.359605,1.47
1762879985.3659441,1.37
1762879985.372174,1.56
1762879985.3784802,1.46
1762879985.3847208,1.33
1762879985.390989,1.41
1762879985.397247,1.43
1762879985.403828,1.47
1762879985.409719,1.49
1762879985.41592,1.43
1762879985.422177,1.47
1762879985.4283352,1.43
1762879985.434945,1.42
1762879985.440852,1.53
1762879985.447093,1.52
1762879985.45346,1.67
1762879985.4596548,2.12
1762879985.465832,2.97
1762879985.472144,3.17
1762879985.4783092,3.17
1762879985.4847412,3.17
1762879985.490873,2.23
1762879985.4971101,0.68
1762879985.5034199,1.35
1762879985.509611,1.84
1762879985.515868,1.38
1762879985.522109,1.32
1762879985.528325,1.55
1762879985.535084,1.5
1762879985.540846,1.34
1762879985.547117,1.32
1762879985.5535,1.46
1762879985.5596,1.49
1762879985.565984,1.37
1762879985.572181,1.46
1762879985.5783439,1.5
1762879985.584598,1.49
1762879985.590892,1.54
1762879985.597126,1.46
1762879985.6034298,1.51
1762879985.609652,1.55
1762879985.615983,1.48
1762879985.622134,1.59
1762879985.628428,1.59
1762879985.634746,1.53
1762879985.6408231,1.6
1762879985.647114,1.6
1762879985.653381,1.62
1762879985.65955,1.65
1762879985.665931,1.63
1762879985.672082,1.73
1762879985.67839,1.73
1762879985.684824,1.72
1762879985.690897,1.8
1762879985.697109,1.81
1762879985.703441,1.85
1762879985.7096572,1.87
1762879985.715968,1.69
1762879985.722367,1.84
1762879985.7283719,1.89
1762879985.7350452,1.73
1762879985.740869,1.73
1762879985.7473102,1.68
1762879985.7533388,1.61
1762879985.759739,1.63
1762879985.7659361,1.57
1762879985.7721448,1.63
1762879985.778379,1.65
1762879985.7849731,1.94
1762879985.7908459,1.69
1762879985.797301,0.96
1762879985.803649,1.07
1762879985.80959,1.46
1762879985.815844,1.33
1762879985.822152,1.34
1762879985.828525,1.39
1762879985.8345668,1.39
1762879985.840832,1.47
1762879985.847085,1.4
1762879985.853374,1.43
1762879985.8597178,1.5
1762879985.865834,1.42
1762879985.872247,1.47
1762879985.8783581,1.48
1762879985.8853161,1.47
1762879985.890827,1.54
1762879985.897111,1.49
1762879985.903579,1.52
1762879985.909703,1.58
1762879985.915822,1.48
1762879985.922105,1.5
1762879985.928364,1.52
1762879985.935006,1.52
1762879985.940855,1.57
1762879985.9471612,1.46
1762879985.953422,1.49
1762879985.959698,1.54
1762879985.96585,1.47
1762879985.972338,1.54
1762879985.978326,1.52
1762879985.984816,1.56
1762879985.990832,1.72
1762879985.997329,1.61
1762879986.003497,1.61
1762879986.009571,1.74
1762879986.016041,1.72
1762879986.022093,1.78
1762879986.028332,1.68
1762879986.034848,1.65
1762879986.040937,1.65
1762879986.0472069,1.48
1762879986.053389,1.46
1762879986.059787,1.49
1762879986.0658612,1.34
1762879986.072451,1.42
1762879986.078364,1.45
1762879986.084948,1.43
1762879986.090827,1.5
1762879986.097049,1.43
1762879986.10342,1.44
1762879986.1096241,1.47
1762879986.115871,1.41
1762879986.122025,1.48
1762879986.128387,1.48
1762879986.1351738,1.43
1762879986.1408918,1.5
1762879986.147146,1.5
1762879986.153333,1.51
1762879986.159661,1.54
1762879986.1659222,1.53
1762879986.1720572,1.74
1762879986.178293,2.18
1762879986.1848152,3.04
1762879986.190819,3.17
1762879986.1970959,3.17
1762879986.203294,3.16
1762879986.209602,1.93
1762879986.215737,0.69
1762879986.222039,1.51
1762879986.228294,1.84
1762879986.234747,1.38
1762879986.2408829,1.35
1762879986.2470882,1.48
1762879986.253367,1.49
1762879986.259798,1.45
1762879986.265793,1.38
1762879986.272042,1.48
1762879986.278283,1.44
1762879986.284572,1.36
1762879986.290785,1.52
1762879986.297101,1.54
1762879986.3034408,1.49
1762879986.309607,1.51
1762879986.315839,1.41
1762879986.322164,1.52
1762879986.328254,1.58
1762879986.334899,1.51
1762879986.340823,1.55
1762879986.34707,1.55
1762879986.353531,1.59
1762879986.359715,1.62
1762879986.3657548,1.57
1762879986.3722172,1.64
1762879986.378218,1.66
1762879986.384574,1.66
1762879986.390678,1.7
1762879986.397076,1.71
1762879986.403308,1.77
1762879986.4096918,1.77
1762879986.4157472,1.72
1762879986.422029,1.85
1762879986.4282439,1.85
1762879986.4345012,1.76
1762879986.440694,1.84
1762879986.447231,1.82
1762879986.453831,1.8
1762879986.459581,1.75
1762879986.465792,1.62
1762879986.4720151,1.63
1762879986.478364,1.62
1762879986.48459,1.51
1762879986.490753,1.51
1762879986.4971058,1.43
1762879986.5033011,1.46
1762879986.5095859,1.52
1762879986.515887,1.39
1762879986.5220091,1.43
1762879986.528224,1.45
1762879986.534513,1.4
1762879986.5407202,1.45
1762879986.5469692,1.4
1762879986.553171,1.46
1762879986.5594912,1.51
1762879986.565763,1.41
1762879986.572154,1.46
1762879986.578322,1.48
1762879986.585109,1.45
1762879986.608284,1.52
1762879986.626957,1.5
1762879986.6561038,1.47
1762879986.660515,1.53
1762879986.660625,1.51
1762879986.660713,1.51
1762879986.6611369,1.51
1762879986.66139,1.48
1762879986.66165,1.55
1762879986.66176,1.51
1762879986.6618721,1.5
1762879986.661952,1.56
1762879986.665729,1.49
1762879986.6718562,1.56
1762879986.678179,1.58
1762879986.684418,1.57
1762879986.69067,1.69
1762879986.696955,1.61
1762879986.703116,1.65
1762879986.7093859,1.8
1762879986.715704,1.72
1762879986.7219589,1.69
1762879986.728333,1.68
1762879986.7346618,1.62
1762879986.740752,1.59
1762879986.7471519,1.48
1762879986.753227,1.43
1762879986.7593548,1.5
1762879986.7656991,1.44
1762879986.7720819,1.47
1762879986.778168,1.44
1762879986.784448,1.33
1762879986.7906718,1.5
1762879986.7969558,1.51
1762879986.803154,1.47
1762879986.809346,1.5
1762879986.815725,1.44
1762879986.822038,1.47
1762879986.828246,1.48
1762879986.8344471,1.47
1762879986.8406882,1.55
1762879986.847038,1.49
1762879986.853167,1.5
1762879986.859345,1.56
1762879986.8656929,1.49
1762879986.871967,1.59
1762879986.878123,1.76
1762879986.884442,2.44
1762879986.8906891,3.17
1762879986.89697,3.17
1762879986.903202,3.17
1762879986.909556,3.08
1762879986.915545,1.2
1762879986.921888,0.91
1762879986.928064,1.76
1762879986.934367,1.67
1762879986.940594,1.38
1762879986.946928,1.34
1762879986.953179,1.47
1762879986.9593349,1.55
1762879986.9656909,1.41
1762879986.971862,1.45
1762879986.978111,1.5
1762879986.9843578,1.44
1762879986.990585,1.52
1762879986.99689,1.49
1762879987.0032861,1.43
1762879987.009465,1.52
1762879987.015747,1.49
1762879987.021891,1.51
1762879987.028126,1.52
1762879987.034709,1.55
1762879987.041159,1.63
1762879987.046874,1.56
1762879987.0532029,1.54
1762879987.05937,1.61
1762879987.065897,1.59
1762879987.071899,1.66
1762879987.078269,1.67
1762879987.084434,1.61
1762879987.090633,1.71
1762879987.0969129,1.71
1762879987.103177,1.73
1762879987.1095722,1.82
1762879987.115846,1.76
1762879987.121953,1.81
1762879987.128129,1.84
1762879987.134392,1.78
1762879987.140557,1.83
1762879987.1468349,1.81
1762879987.153153,1.8
1762879987.159337,1.81
1762879987.165707,1.69
1762879987.171774,1.69
1762879987.178048,1.64
1762879987.18441,1.52
1762879987.190648,1.57
1762879987.196973,1.51
1762879987.203289,1.43
1762879987.209502,1.52
1762879987.215543,1.47
1762879987.2218812,1.47
1762879987.228052,1.47
1762879987.2348092,1.4
1762879987.240576,1.5
1762879987.246871,1.48
1762879987.253082,1.44
1762879987.259576,1.52
1762879987.265714,1.47
1762879987.2719018,1.5
1762879987.2782989,1.51
1762879987.284961,1.47
1762879987.290644,1.56
1762879987.29685,1.52
1762879987.303093,1.48
1762879987.3095171,1.54
1762879987.315733,1.47
1762879987.322029,1.55
1762879987.328118,1.56
1762879987.33457,1.5
1762879987.340493,1.57
1762879987.346813,1.53
1762879987.353181,1.52
1762879987.359471,1.59
1762879987.365532,1.5
1762879987.3719711,1.54
1762879987.3779771,1.59
1762879987.384372,1.49
1762879987.3906581,1.54
1762879987.3968792,1.53
1762879987.4032278,1.57
1762879987.4095201,1.7
1762879987.415963,1.61
1762879987.421899,1.66
1762879987.42835,1.79
1762879987.4347131,1.71
1762879987.4405062,1.74
1762879987.446944,1.69
1762879987.453054,1.68
1762879987.459588,1.67
1762879987.4656441,1.45
1762879987.471753,1.48
1762879987.477996,1.55
1762879987.4850361,1.42
1762879987.4905238,1.47
1762879987.496777,1.5
1762879987.503045,1.45
1762879987.509344,1.47
1762879987.515687,1.42
1762879987.521743,1.46
1762879987.527988,1.49
1762879987.534301,1.43
1762879987.540522,1.52
1762879987.546707,1.5
1762879987.5529711,1.43
1762879987.5591838,1.52
1762879987.565601,1.52
1762879987.571719,1.52
1762879987.577976,1.53
1762879987.584173,1.46
1762879987.590511,1.58
1762879987.596839,1.72
1762879987.603018,2.11
1762879987.609231,3.07
1762879987.6155672,3.17
1762879987.621763,3.17
1762879987.6280022,3.17
1762879987.6343,2.08
1762879987.6404538,0.79
1762879987.646875,1.43
1762879987.6529658,1.77
1762879987.659192,1.53
1762879987.665525,1.34
1762879987.671762,1.44
1762879987.6780748,1.52
1762879987.684683,1.43
1762879987.6905248,1.47
1762879987.696758,1.47
1762879987.702961,1.47
1762879987.7091289,1.52
1762879987.715501,1.45
1762879987.7218409,1.48
1762879987.728232,1.52
1762879987.734391,1.47
1762879987.740581,1.58
1762879987.746756,1.57
1762879987.752971,1.49
1762879987.759448,1.56
1762879987.765588,1.55
1762879987.771948,1.6
1762879987.7780612,1.65
1762879987.7843788,1.6
1762879987.7905438,1.65
1762879987.796739,1.64
1762879987.802996,1.62
1762879987.809404,1.73
1762879987.815528,1.74
1762879987.8219562,1.75
1762879987.8281448,1.77
1762879987.8343701,1.74
1762879987.8404632,1.84
1762879987.846792,1.8
1762879987.8529978,1.76
1762879987.859183,1.86
1762879987.8654652,1.78
1762879987.871671,1.76
1762879987.878486,1.81
1762879987.8844411,1.71
1762879987.890469,1.74
1762879987.8966908,1.65
1762879987.902891,1.56
1762879987.909214,1.57
1762879987.9154408,1.46
1762879987.921715,1.52
1762879987.927996,1.52
1762879987.934977,1.41
1762879987.940407,1.51
1762879987.946656,1.49
1762879987.952947,1.42
1762879987.9591942,1.51
1762879987.9657788,1.46
1762879987.971572,1.47
1762879987.977927,1.5
1762879987.984498,1.43
1762879987.990361,1.51
1762879987.996601,1.51
1762879988.002954,1.45
1762879988.009419,1.56
1762879988.015496,1.53
1762879988.0216599,1.51
1762879988.028065,1.51
1762879988.035276,1.48
1762879988.040422,1.62
1762879988.046707,1.56
1762879988.0530229,1.47
1762879988.059498,1.55
1762879988.06543,1.52
1762879988.071755,1.52
1762879988.0779,1.56
1762879988.084524,1.46
1762879988.0904179,1.54
1762879988.096658,1.54
1762879988.1029198,1.47
1762879988.109206,1.61
1762879988.115547,1.61
1762879988.12181,1.6
1762879988.128055,1.66
1762879988.134252,1.67
1762879988.14044,1.76
1762879988.146688,1.75
1762879988.152993,1.65
1762879988.159262,1.74
1762879988.165424,1.63
1762879988.180161,1.48
1762879988.183788,1.51
1762879988.184254,1.43
1762879988.1968992,1.47
1762879988.221514,1.45
1762879988.239923,1.41
1762879988.2434182,1.49
1762879988.2435892,1.41
1762879988.243687,1.4
1762879988.243747,1.49
1762879988.243808,1.45
1762879988.243872,1.45
1762879988.246568,1.42
1762879988.2537332,1.42
1762879988.2591,1.5
1762879988.265367,1.45
1762879988.271549,1.48
1762879988.277796,1.54
1762879988.284262,1.45
1762879988.290338,1.52
1762879988.296721,1.51
1762879988.302881,1.56
1762879988.3091042,1.89
1762879988.315413,2.4
1762879988.321575,3.16
1762879988.32787,3.17
1762879988.3341491,3.17
1762879988.340278,3.12
1762879988.346604,1.36
1762879988.3530161,0.84
1762879988.359204,1.69
1762879988.3654232,1.65
1762879988.371715,1.32
1762879988.377873,1.38
1762879988.385858,1.44
1762879988.39043,1.47
1762879988.3966131,1.42
1762879988.402946,1.4
1762879988.409077,1.47
1762879988.41536,1.39
1762879988.4217222,1.43
1762879988.427861,1.53
1762879988.43429,1.46
1762879988.440266,1.49
1762879988.4467561,1.5
1762879988.452859,1.46
1762879988.459015,1.52
1762879988.4654238,1.47
1762879988.47169,1.5
1762879988.477827,1.62
1762879988.484797,1.53
1762879988.490331,1.58
1762879988.496572,1.59
1762879988.5028539,1.59
1762879988.509017,1.67
1762879988.515619,1.6
1762879988.521614,1.66
1762879988.528109,1.74
1762879988.5348248,1.68
1762879988.540342,1.73
1762879988.5466108,1.75
1762879988.552895,1.73
1762879988.559177,1.8
1762879988.5653791,1.74
1762879988.571554,1.77
1762879988.577984,1.85
1762879988.584387,1.71
1762879988.590569,1.73
1762879988.596575,1.72
1762879988.602885,1.61
1762879988.609164,1.63
1762879988.6153758,1.52
1762879988.621602,1.48
1762879988.627807,1.53
1762879988.635123,1.43
1762879988.64022,1.47
1762879988.6465878,1.47
1762879988.652971,1.4
1762879988.6591518,1.49
1762879988.665299,1.43
1762879988.671544,1.43
1762879988.6778612,1.45
1762879988.684157,1.38
1762879988.690302,1.46
1762879988.696485,1.49
1762879988.702806,1.43
1762879988.7090838,1.51
1762879988.7153542,1.46
1762879988.7218308,1.49
1762879988.728111,1.57
1762879988.734188,1.46
1762879988.740321,1.5
1762879988.746521,1.52
1762879988.752987,1.48
1762879988.759265,1.52
1762879988.7653902,1.49
1762879988.771799,1.51
1762879988.777969,1.56
1762879988.7843552,1.48
1762879988.7904189,1.51
1762879988.796523,1.51
1762879988.80286,1.44
1762879988.809355,1.54
1762879988.815423,1.55
1762879988.821734,1.59
1762879988.827947,1.65
1762879988.835597,1.53
1762879988.8403351,1.66
1762879988.846507,1.74
1762879988.852997,1.7
1762879988.85902,1.74
1762879988.865324,1.67
1762879988.8717718,1.61
1762879988.877943,1.56
1762879988.884091,1.43
1762879988.8902888,1.46
1762879988.89643,1.44
1762879988.902781,1.37
1762879988.90903,1.48
1762879988.915332,1.42
1762879988.921686,1.37
1762879988.928032,1.48
1762879988.934276,1.4
1762879988.940236,1.43
1762879988.946482,1.47
1762879988.9527721,1.42
1762879988.9591281,1.46
1762879988.965249,1.41
1762879988.971495,1.4
1762879988.9778829,1.53
1762879988.983982,1.47
1762879988.990187,1.49
1762879988.996385,1.5
1762879989.0028028,1.48
1762879989.0089421,1.7
1762879989.015291,1.99
1762879989.021607,2.76
1762879989.02777,3.17
1762879989.0341492,3.17
1762879989.040232,3.17
1762879989.046392,2.54
1762879989.0527391,0.76
1762879989.058934,1.22
1762879989.065291,1.78
1762879989.071358,1.46
1762879989.077947,1.33
1762879989.083977,1.4
1762879989.0902662,1.45
1762879989.096429,1.4
1762879989.102731,1.38
1762879989.1090581,1.49
1762879989.115245,1.43
1762879989.121577,1.43
1762879989.1279109,1.48
1762879989.134345,1.41
1762879989.1402612,1.49
1762879989.146411,1.51
1762879989.152663,1.44
1762879989.158911,1.54
1762879989.165287,1.5
1762879989.1714811,1.48
1762879989.1778078,1.52
1762879989.18408,1.51
1762879989.190239,1.6
1762879989.196414,1.61
1762879989.202761,1.52
1762879989.208941,1.62
1762879989.2152472,1.63
1762879989.221492,1.64
1762879989.227735,1.7
1762879989.234445,1.66
1762879989.240382,1.74
1762879989.2464,1.78
1762879989.252767,1.68
1762879989.2593431,1.75
1762879989.265221,1.8
1762879989.2715719,1.77
1762879989.2778938,1.79
1762879989.284256,1.74
1762879989.290331,1.76
1762879989.2963588,1.73
1762879989.3027258,1.62
1762879989.309132,1.65
1762879989.315246,1.52
1762879989.321399,1.46
1762879989.3278568,1.55
1762879989.3339698,1.45
1762879989.340226,1.44
1762879989.3463402,1.45
1762879989.352726,1.4
1762879989.358898,1.48
1762879989.365217,1.41
1762879989.371385,1.39
1762879989.377694,1.49
1762879989.383991,1.43
1762879989.3901749,1.46
1762879989.396312,1.49
1762879989.4026392,1.44
1762879989.4088619,1.5
1762879989.415761,1.41
1762879989.421603,1.46
1762879989.427841,1.58
1762879989.433949,1.45
1762879989.44015,1.44
1762879989.446353,1.52
1762879989.452713,1.44
1762879989.458869,1.53
1762879989.465183,1.54
1762879989.4713228,1.48
1762879989.477942,1.53
1762879989.48393,1.49
1762879989.490162,1.53
1762879989.496381,1.54
1762879989.50266,1.43
1762879989.5089521,1.52
1762879989.51515,1.54
1762879989.5214632,1.51
1762879989.52769,1.64
1762879989.534762,1.61
1762879989.5403872,1.61
1762879989.546328,1.69
1762879989.55278,1.68
1762879989.558978,1.8
1762879989.565137,1.71
1762879989.5714471,1.63
1762879989.5778618,1.67
1762879989.5839732,1.48
1762879989.590179,1.46
1762879989.5963352,1.5
1762879989.6025531,1.38
1762879989.609034,1.41
1762879989.615104,1.43
1762879989.6215072,1.44
1762879989.6278532,1.48
1762879989.633914,1.36
1762879989.640128,1.43
1762879989.646452,1.5
1762879989.652726,1.39
1762879989.658893,1.45
1762879989.6651661,1.46
1762879989.6713212,1.43
1762879989.677801,1.5
1762879989.683872,1.44
1762879989.6900868,1.5
1762879989.696324,1.53
1762879989.7028039,1.42
1762879989.708849,1.52
1762879989.715034,1.69
1762879989.721419,2.02
1762879989.727668,2.93
1762879989.73396,3.17
1762879989.740111,3.17
1762879989.746259,3.17
1762879989.752487,2.31
1762879989.758838,0.75
1762879989.7651489,1.28
1762879989.771366,1.83
1762879989.777706,1.55
1762879989.783844,1.27
1762879989.7900429,1.42
1762879989.796247,1.52
1762879989.802567,1.38
1762879989.808842,1.45
1762879989.81506,1.46
1762879989.8214662,1.43
1762879989.827494,1.51
1762879989.834185,1.44
1762879989.839987,1.44
1762879989.8462222,1.51
1762879989.8524601,1.45
1762879989.858733,1.53
1762879989.865382,1.53
1762879989.871287,1.5
1762879989.877517,1.58
1762879989.894753,1.52
1762879989.912395,1.53
1762879989.933156,1.63
1762879989.93326,1.57
1762879989.933332,1.63
1762879989.9334002,1.6
1762879989.933467,1.58
1762879989.933533,1.73
1762879989.9387121,1.7
1762879989.943827,1.69
1762879989.947513,1.75
1762879989.952543,1.72
1762879989.958754,1.79
1762879989.968503,1.76
1762879989.9712179,1.73
1762879989.977463,1.87
1762879989.9838002,1.8
1762879989.99005,1.74
1762879989.996481,1.77
1762879990.0025752,1.69
1762879990.008716,1.71
1762879990.01505,1.63
1762879990.021209,1.52
1762879990.0276082,1.58
1762879990.034029,1.5
1762879990.040011,1.47
1762879990.046339,1.49
1762879990.052543,1.4
1762879990.058796,1.46
1762879990.0650702,1.48
1762879990.07133,1.43
1762879990.07752,1.47
1762879990.08378,1.4
1762879990.090132,1.44
1762879990.1124392,1.5
1762879990.1338508,1.43
1762879990.135211,1.49
1762879990.135384,1.49
1762879990.135517,1.46
1762879990.135663,1.54
1762879990.135808,1.49
1762879990.175189,1.49
1762879990.175601,1.54
1762879990.1757529,1.49
1762879990.175926,1.55
1762879990.176075,1.53
1762879990.1762218,1.47
1762879990.1799831,1.57
1762879990.18524,1.52
1762879990.1906571,1.51
1762879990.196639,1.55
1762879990.202583,1.48
1762879990.208788,1.51
1762879990.217746,1.52
1762879990.221225,1.48
1762879990.227478,1.58
1762879990.234011,1.59
1762879990.239895,1.61
1762879990.2463841,1.6
1762879990.252479,1.58
1762879990.258849,1.82
1762879990.265158,1.82
1762879990.271177,1.66
1762879990.2776058,1.71
1762879990.283863,1.65
1762879990.289946,1.58
1762879990.296243,1.53
1762879990.3024251,1.43
1762879990.308637,1.48
1762879990.31502,1.46
1762879990.3212001,1.4
1762879990.3273768,1.49
1762879990.333697,1.4
1762879990.340008,1.38
1762879990.346048,1.45
1762879990.3523278,1.39
1762879990.358748,1.47
1762879990.365045,1.5
1762879990.371125,1.44
1762879990.377407,1.48
1762879990.3837628,1.46
1762879990.38996,1.49
1762879990.396152,1.53
1762879990.4024389,1.46
1762879990.408658,1.51
1762879990.415348,1.5
1762879990.4212182,1.56
1762879990.427454,1.85
1762879990.433702,2.36
1762879990.439926,3.16
1762879990.446251,3.17
1762879990.452458,3.17
1762879990.458681,3.14
1762879990.465027,1.41
1762879990.4711502,0.75
1762879990.477448,1.72
1762879990.4840581,1.74
1762879990.489911,1.33
1762879990.496106,1.38
1762879990.50244,1.46
1762879990.5087528,1.5
1762879990.514967,1.44
1762879990.5212622,1.41
1762879990.52747,1.51
1762879990.533678,1.46
1762879990.539924,1.45
1762879990.546205,1.52
1762879990.5524611,1.46
1762879990.558669,1.5
1762879990.5667698,1.52
1762879990.571243,1.49
1762879990.577541,1.58
1762879990.5837069,1.52
1762879990.590074,1.52
1762879990.5962849,1.62
1762879990.602581,1.55
1762879990.6088252,1.61
1762879990.616197,1.67
1762879990.621226,1.6
1762879990.6275358,1.65
1762879990.634277,1.64
1762879990.63988,1.71
1762879990.6461282,1.77
1762879990.652447,1.69
1762879990.658726,1.77
1762879990.6649458,1.82
1762879990.671137,1.74
1762879990.677381,1.79
1762879990.6836731,1.77
1762879990.689963,1.79
1762879990.6962,1.86
1762879990.702383,1.75
1762879990.7087219,1.76
1762879990.715141,1.74
1762879990.721169,1.6
1762879990.7275531,1.63
1762879990.7336771,1.58
1762879990.740003,1.52
1762879990.7462158,1.52
1762879990.752526,1.45
1762879990.758826,1.51
1762879990.764875,1.51
1762879990.7713568,1.41
1762879990.777504,1.48
1762879990.7836869,1.45
1762879990.789911,1.46
1762879990.796124,1.52
1762879990.8024058,1.44
1762879990.808605,1.5
1762879990.8149672,1.53
1762879990.821342,1.45
1762879990.82752,1.52
1762879990.833643,1.52
1762879990.83985,1.49
1762879990.8461921,1.53
1762879990.8524742,1.47
1762879990.858738,1.55
1762879990.864929,1.6
1762879990.8712409,1.5
1762879990.877459,1.55
1762879990.883662,1.54
1762879990.8900118,1.52
1762879990.896097,1.56
1762879990.902387,1.49
1762879990.908823,1.5
1762879990.915875,1.53
1762879990.921328,1.51
1762879990.92753,1.56
1762879990.9337852,1.48
1762879990.939997,1.47
1762879990.946111,1.56
1762879990.952474,1.49
1762879990.958674,1.6
1762879990.964948,1.65
1762879990.971272,1.57
1762879990.977528,1.62
1762879990.98366,1.73
1762879990.989861,1.8
1762879990.996014,1.78
1762879991.002371,1.62
1762879991.0085618,1.66
1762879991.016404,1.65
1762879991.0212889,1.47
